tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_013,model_lstm_003,model_lstm_047,model_lstm_011,model_lstm_048,model_lstm_040,model_lstm_024,model_lstm_038,model_lstm_037,model_lstm_009,model_lstm_004,model_lstm_031,model_lstm_014,model_lstm_008,model_lstm_035,model_lstm_015,model_lstm_050,model_lstm_025,model_lstm_019,model_lstm_036,model_lstm_046,model_lstm_022,model_lstm_021,model_lstm_020,model_lstm_033,model_lstm_045,model_lstm_002,model_lstm_012,model_lstm_005,model_lstm_023,model_lstm_032,model_lstm_030,model_lstm_039,model_lstm_041,model_lstm_043,model_lstm_027,model_lstm_017,model_lstm_044,model_lstm_006,model_lstm_042,model_lstm_010,model_lstm_001,model_lstm_018,model_lstm_007,model_lstm_029,model_lstm_049,model_lstm_026,model_lstm_028,model_lstm_016,model_lstm_034
2026-01-03,1.0,-1.1034116873888166e-05,1.2957897739232105,0.99005111234531,0.57987887,0.5703405,0.5810762,0.6138291,0.64599365,0.5645878,0.56079036,0.57243365,0.6626943,0.5804224,0.5797204,0.53555626,0.5844328,0.58167005,0.56487185,0.5627269,0.5735889,0.5598604,0.57091373,0.5868948,0.60893536,0.5967814,0.58785856,0.5764751,0.61863667,0.6034656,0.59353524,0.5949481,0.5770666,0.5836098,0.5890707,0.5642475,0.57777786,0.5985399,0.5651292,0.5697784,0.59188825,0.577831,0.5727403,0.5376603,0.57338923,0.5684978,0.55086213,0.56298906,0.5730529,0.5369036,0.5717052,0.5871047,0.64840597,0.6076297
2026-01-04,1.0,-0.0163020432437238,3.4990375212865805,2.5137383113592904,0.5049364,0.44583902,0.45020705,0.46858868,0.44483215,0.44119963,0.45431408,0.45733103,0.4975642,0.44670975,0.4546885,0.49513295,0.46310362,0.51210797,0.44271117,0.4426434,0.46857607,0.4509056,0.41230276,0.4622272,0.4993115,0.4865443,0.44784835,0.45995274,0.46652082,0.44276705,0.46316093,0.44830468,0.45039815,0.44241217,0.4834991,0.45565456,0.45354456,0.44739014,0.4403429,0.46027502,0.4585438,0.5084316,0.4728748,0.49273047,0.5021408,0.4868914,0.4409837,0.4645251,0.47322065,0.47781783,0.49822894,0.4754471,0.5410032,0.5485683
2026-01-05,0.0,-2.805643002547868,0.6210504435895601,-0.11912093706725,0.49032107,0.48903102,0.48987582,0.47459623,0.4427121,0.48247004,0.48422715,0.45946908,0.5216296,0.48925343,0.4774763,0.46253306,0.45267728,0.4855606,0.50311524,0.46464667,0.47091275,0.4720805,0.42389035,0.47542727,0.5089066,0.49237704,0.49209952,0.49809328,0.47053123,0.42730725,0.46600747,0.45925567,0.45521986,0.41726762,0.47168502,0.44707,0.4843297,0.48593932,0.44374186,0.44423527,0.48036456,0.51429987,0.46703526,0.41978,0.512633,0.4755573,0.45771047,0.46643823,0.5001013,0.4873677,0.45697984,0.50892377,0.5384447,0.5389212
2026-01-06,0.0,-3.3322591363202543,0.0,-2.57567322610848,0.45199308,0.49285716,0.50812143,0.46154565,0.4622868,0.46798867,0.46887463,0.47717145,0.5389274,0.4564302,0.4648849,0.44143435,0.45037732,0.44568098,0.4581009,0.4903644,0.48238862,0.47847518,0.48021924,0.4648232,0.4656137,0.45160985,0.46468207,0.4789955,0.46082056,0.4664895,0.47215182,0.46279314,0.48116866,0.47763652,0.43284106,0.4961388,0.46818128,0.4716948,0.45751137,0.47494373,0.47947922,0.4357504,0.44577205,0.43843552,0.43147528,0.42838484,0.48799565,0.504499,0.48093045,0.45182684,0.4026335,0.50457335,0.4823868,0.4840574
2026-01-07,0.0,-2.2728618434127457,0.3538121107200562,-0.28955845252425,0.48067635,0.39998055,0.4553855,0.46778062,0.47827044,0.42796764,0.44711667,0.48767,0.50683707,0.4425528,0.4627621,0.4865055,0.41534972,0.4626778,0.4173696,0.48580506,0.48877245,0.4659149,0.47089425,0.45818135,0.4650984,0.44256327,0.46090063,0.43101567,0.46596372,0.46982726,0.47325394,0.46111876,0.474828,0.46885854,0.43848312,0.48003766,0.44434384,0.44766137,0.47008085,0.49419767,0.44513035,0.43030012,0.45641455,0.46703422,0.44103155,0.43565652,0.4732533,0.4891089,0.44367874,0.4502251,0.41337755,0.47563267,0.47230366,0.47336313
2026-01-08,0.0,-1.5546458976333632,1.0727762843917097,-0.50479560758538,0.5189195,0.5140621,0.5336595,0.5369763,0.5369643,0.5259335,0.52773035,0.5118986,0.50987524,0.5347402,0.5158555,0.50786906,0.5590379,0.5224173,0.52759886,0.5299715,0.52560055,0.5033106,0.52418345,0.5173941,0.5133269,0.4985228,0.55789953,0.51870453,0.5127809,0.52288973,0.5208436,0.5210206,0.5159587,0.5196786,0.5077254,0.5051981,0.50639474,0.5028569,0.50885737,0.5194773,0.5071712,0.49770743,0.5120087,0.524574,0.48817807,0.48566395,0.5075451,0.5100955,0.49005026,0.48930672,0.4772312,0.5117688,0.5608965,0.51892823
2026-01-09,0.0,-0.2621224213731839,0.2101908007801602,-0.15079553615388,0.5468761,0.5542752,0.55928403,0.5788513,0.59206903,0.5505977,0.5403295,0.5473847,0.5307862,0.55219,0.54720145,0.5328342,0.596783,0.5572597,0.5528136,0.5485046,0.5524219,0.53387403,0.55687374,0.55092096,0.5711623,0.55073494,0.5665847,0.55455065,0.56181467,0.55983615,0.5558237,0.5598453,0.54982567,0.55208,0.55608094,0.5358302,0.5489308,0.5528705,0.54159266,0.5481507,0.5504289,0.5441109,0.550752,0.5374455,0.5322845,0.5271336,0.5368952,0.5374443,0.5320936,0.5199746,0.5262604,0.5491235,0.6130118,0.5620954
2026-01-10,1.0,-0.2973322532852666,0.8572537712954149,0.56077122089449,0.5552839,0.51277864,0.54384506,0.57039976,0.59969825,0.52838385,0.5356002,0.5411011,0.54403454,0.53953755,0.5385336,0.53315926,0.547071,0.56346446,0.52693677,0.5413853,0.55975664,0.53558713,0.5516043,0.5519469,0.5948349,0.55646044,0.5406528,0.5374099,0.5499687,0.55539316,0.5611411,0.5542805,0.5535401,0.55308455,0.55949575,0.5441102,0.5563346,0.548342,0.54114103,0.55047685,0.5470329,0.54311985,0.555156,0.55506396,0.53228337,0.5354461,0.53443867,0.53954846,0.5293312,0.5229612,0.53783256,0.54505295,0.6190004,0.5683062
2026-01-11,1.0,-0.9773731181856038,1.641480167142524,0.3099670437196,0.46690336,0.4418201,0.4583951,0.4747476,0.41700652,0.45787916,0.46682218,0.44940645,0.45667395,0.47026753,0.4718513,0.49989608,0.49022916,0.5169821,0.44207937,0.44883212,0.48080766,0.45592144,0.4171439,0.45107386,0.48113158,0.484753,0.47023195,0.4628732,0.42277855,0.44598213,0.4539856,0.44313854,0.43637893,0.4450541,0.50370014,0.41088682,0.46873096,0.4415687,0.46133098,0.45894274,0.46925265,0.4982135,0.48142362,0.5237603,0.479332,0.4957717,0.44372544,0.45941076,0.4646044,0.48954043,0.48524788,0.46947798,0.56501347,0.53180677
2026-01-12,1.0,-0.2780977827798945,5.538202782590246,4.4116152506374195,0.48256508,0.4772789,0.49659917,0.49439922,0.4463605,0.50118685,0.48654947,0.47532642,0.5036982,0.4897039,0.4940544,0.4735352,0.4787533,0.49352282,0.52833974,0.4750243,0.4881679,0.48730484,0.43336758,0.47725588,0.52750015,0.503701,0.50038314,0.50252783,0.46024215,0.4394334,0.4715967,0.46837676,0.44975987,0.42419344,0.49374273,0.43430805,0.49523434,0.4979102,0.46730548,0.4517702,0.49698576,0.505103,0.4839554,0.43373147,0.5126673,0.49318874,0.46539506,0.4749833,0.5088503,0.4949199,0.4462842,0.51767075,0.55350995,0.53739905
