tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_023,model_xgb_034,model_xgb_038,model_xgb_024,model_xgb_008,model_xgb_018,model_xgb_050,model_xgb_007,model_xgb_015,model_xgb_029,model_xgb_047,model_xgb_003,model_xgb_014,model_xgb_042,model_xgb_010,model_xgb_004,model_xgb_033,model_xgb_035,model_xgb_040,model_xgb_021,model_xgb_048,model_xgb_032,model_xgb_049,model_xgb_044,model_xgb_011,model_xgb_026,model_xgb_027,model_xgb_009,model_xgb_043,model_xgb_028,model_xgb_012,model_xgb_019,model_xgb_022,model_xgb_045,model_xgb_020,model_xgb_006,model_xgb_031,model_xgb_002,model_xgb_039,model_xgb_046,model_xgb_001,model_xgb_030,model_xgb_025,model_xgb_036,model_xgb_017,model_xgb_041,model_xgb_013,model_xgb_005,model_xgb_037,model_xgb_016
2025-09-25,1,-0.3441133437682889,1.190659576674615,0.59364982695478,0.44905886,0.5664532,0.45720387,0.5274671,0.46612912,0.5217979,0.47394732,0.44739604,0.54509896,0.5746269,0.48905295,0.35239673,0.47068673,0.6536019,0.46620378,0.49753234,0.5524198,0.47909564,0.5163352,0.5543147,0.451961,0.54773736,0.7038352,0.50297356,0.4931121,0.44931898,0.674952,0.50482255,0.5528865,0.45012844,0.52945083,0.5451177,0.36262926,0.49068347,0.5488639,0.48107916,0.50153714,0.5449087,0.44548893,0.49610397,0.50965166,0.7301251,0.4427348,0.547626,0.47061178,0.60490024,0.5729121,0.45748046,0.53219277,0.48744586
2025-09-26,0,-0.52952953138212,0.0915731903978601,-0.00694091932618392,0.64076173,0.4095505,0.5135289,0.5627075,0.5420505,0.49136448,0.4553098,0.5471479,0.49837098,0.6723878,0.5393175,0.5564513,0.5192476,0.53271294,0.603722,0.492135,0.5568005,0.5466659,0.6392239,0.5295818,0.51419985,0.52927065,0.5634501,0.64437515,0.49761155,0.56179476,0.47248018,0.49133974,0.6046322,0.44369516,0.49090797,0.5496452,0.6462147,0.4975639,0.5064746,0.50497854,0.5595356,0.48803642,0.40956417,0.492379,0.5222823,0.6687485,0.52095234,0.547626,0.6031476,0.5671781,0.65635735,0.5184061,0.5384115,0.50829136
2025-09-27,1,-0.4075027126504267,2.4454579062341457,2.2797220643522302,0.553979,0.43104216,0.49068347,0.5503562,0.5189987,0.49136448,0.5260569,0.45259902,0.44208887,0.7023294,0.5535845,0.4680685,0.49315396,0.4930502,0.47043708,0.5305094,0.51255774,0.6142885,0.5519055,0.56336635,0.51419985,0.511942,0.49234122,0.57384986,0.5527789,0.45624772,0.4039693,0.5071095,0.74144274,0.45519438,0.51177305,0.55547065,0.5038194,0.4975639,0.5396087,0.53560853,0.4399741,0.45703387,0.41414037,0.5181292,0.48374465,0.5293965,0.4427348,0.5456419,0.4919752,0.5327854,0.47903463,0.55149674,0.5330641,0.48744586
2025-09-28,1,-0.539325100910744,1.9739438733178485,1.89695620345703,0.34836596,0.50449294,0.47473967,0.5384525,0.490916,0.49790165,0.43337026,0.48734602,0.40556553,0.5631443,0.5018028,0.4240711,0.47068673,0.5622908,0.397865,0.492135,0.51237476,0.5045659,0.4630589,0.50465524,0.51419985,0.5056996,0.41863492,0.4211831,0.45155677,0.55151635,0.3200303,0.43073115,0.5179566,0.5061371,0.4939851,0.6266724,0.5138569,0.48829275,0.56282496,0.49888182,0.4611204,0.41833168,0.59176534,0.4455861,0.53514445,0.3550088,0.5527143,0.5784069,0.5414318,0.43628514,0.5024325,0.41819292,0.54823035,0.4628307
2025-09-29,0,-1.4589877796575488,0.4190592799016273,-0.23036354107678,0.5038133,0.6049916,0.4771905,0.5034401,0.5135271,0.56076336,0.50069606,0.5131879,0.48002085,0.5477264,0.44560042,0.68008703,0.50280374,0.55454975,0.519151,0.49753234,0.5524198,0.46479803,0.51797956,0.50031966,0.51419985,0.483851,0.6388131,0.5324261,0.49761155,0.46647692,0.5818871,0.5469724,0.33658683,0.5061371,0.47718045,0.47033927,0.5708068,0.5170246,0.48633456,0.45616084,0.55394644,0.47381857,0.5175493,0.49610397,0.5780528,0.44596836,0.5146707,0.45361835,0.6643485,0.59576863,0.5431479,0.5797244,0.48702714,0.48660934
2025-09-30,1,-0.0721529610857708,3.954283068166354,3.90866760019979,0.40596652,0.49044254,0.55394644,0.49666938,0.47352445,0.49790165,0.5592947,0.5001717,0.4251372,0.40470344,0.49335477,0.3009227,0.45463353,0.40620607,0.3172221,0.49753234,0.54368216,0.40794563,0.49217916,0.41566554,0.47973895,0.5056996,0.22995345,0.4212565,0.46902612,0.42149413,0.34925884,0.4311891,0.43760008,0.5061371,0.5585816,0.5437837,0.60443753,0.5170246,0.5064746,0.49800208,0.4611204,0.49044508,0.45293707,0.492379,0.52416015,0.51219445,0.49207273,0.45361835,0.3566652,0.43901756,0.5026332,0.48872864,0.46,0.48660934
2025-10-01,1,-0.266538148620893,2.0258682820382137,1.61790488991379,0.4325723,0.5884574,0.5135289,0.37508595,0.46612912,0.5217979,0.5260569,0.5471479,0.5010243,0.47150514,0.44178805,0.30700037,0.47068673,0.47951454,0.47350955,0.48988453,0.49351755,0.5365447,0.46990824,0.50157243,0.4811191,0.5056996,0.41341418,0.507834,0.46902612,0.54071635,0.5743851,0.60457885,0.40701756,0.5061371,0.49090797,0.45527533,0.4324297,0.5170246,0.54423314,0.49494913,0.48257083,0.5255359,0.3830029,0.49610397,0.50915885,0.54545677,0.49207273,0.47871238,0.4717874,0.4755559,0.45403436,0.4554939,0.59655184,0.5405651
2025-10-02,1,-1.0685417835820217,2.754106024473794,1.4027586512955799,0.5117423,0.5526158,0.4993142,0.55631983,0.53732777,0.5217979,0.45985213,0.5131879,0.528229,0.6738534,0.53982157,0.4910718,0.54797304,0.6323695,0.4314385,0.5176149,0.480928,0.5278457,0.50559694,0.49747702,0.51419985,0.5056996,0.7056561,0.4289306,0.51949507,0.5725458,0.63704836,0.64976543,0.54056776,0.45012844,0.51177305,0.5175524,0.5366383,0.4975639,0.598021,0.50497854,0.55310434,0.55352986,0.6246099,0.49610397,0.55626947,0.48644564,0.4530623,0.4831352,0.47334462,0.60356635,0.5929038,0.50770545,0.53219277,0.47682536
2025-10-03,1,-0.5924314329892795,0.4636137462628792,0.12999597126279,0.4822864,0.59245604,0.5135289,0.47361323,0.4894598,0.49790165,0.5592947,0.5535592,0.41511765,0.34900916,0.49335477,0.55912596,0.47068673,0.4449647,0.49206743,0.53297377,0.54775006,0.47454393,0.5735916,0.4144385,0.51419985,0.43355784,0.5018195,0.395765,0.53356194,0.49492884,0.6132668,0.58315563,0.31628197,0.47457507,0.46041548,0.5326273,0.53216755,0.5170246,0.52655894,0.5276277,0.46883312,0.46460146,0.33167338,0.492379,0.460245,0.281939,0.49207273,0.55076987,0.38666794,0.48346028,0.52035356,0.4884873,0.46,0.5203403
2025-10-04,1,-0.208566000839999,2.674426027441919,0.88770689789275,0.5917029,0.5321994,0.5135289,0.5272783,0.48577514,0.44560042,0.4553098,0.45259902,0.504459,0.61869186,0.49335477,0.63035506,0.54797304,0.451545,0.49040908,0.53297377,0.5717995,0.5538844,0.56965053,0.5620298,0.4811191,0.5056996,0.47888294,0.62799436,0.53356194,0.50887936,0.4320385,0.5599392,0.5470896,0.5061371,0.51177305,0.5219757,0.5606379,0.4975639,0.47587952,0.50497854,0.4399741,0.5449087,0.6479468,0.5378304,0.6594293,0.5522631,0.5416715,0.5717428,0.5555609,0.6017924,0.5118269,0.4273127,0.51335186,0.48744586
