tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_024,model_xgb_018,model_xgb_049,model_xgb_041,model_xgb_048,model_xgb_020,model_xgb_016,model_xgb_015,model_xgb_011,model_xgb_030,model_xgb_006,model_xgb_022,model_xgb_007,model_xgb_039,model_xgb_040,model_xgb_046,model_xgb_012,model_xgb_033,model_xgb_021,model_xgb_034,model_xgb_005,model_xgb_009,model_xgb_029,model_xgb_025,model_xgb_028,model_xgb_014,model_xgb_035,model_xgb_002,model_xgb_027,model_xgb_003,model_xgb_023,model_xgb_045,model_xgb_036,model_xgb_042,model_xgb_031,model_xgb_032,model_xgb_001,model_xgb_050,model_xgb_047,model_xgb_026,model_xgb_010,model_xgb_038,model_xgb_008,model_xgb_019,model_xgb_044,model_xgb_017,model_xgb_004,model_xgb_037,model_xgb_013,model_xgb_043
2024-08-21,0,-2.3679950680449973,0.3981367906089414,-1.28394423275779,0.58967465,0.4695747,0.53127784,0.53327703,0.47378886,0.5333353,0.5198469,0.46266726,0.47628242,0.46747452,0.5469715,0.5053585,0.4819822,0.5317642,0.43836477,0.43708807,0.5076152,0.5209273,0.51810193,0.50773,0.43004164,0.44745108,0.36441663,0.5218378,0.48161885,0.51833314,0.43732587,0.47690275,0.4362483,0.5023293,0.5399903,0.48053107,0.48694295,0.4726427,0.46552873,0.49665415,0.4754096,0.47549665,0.5202171,0.43050346,0.5512698,0.5215655,0.52220446,0.5093443,0.5353534,0.48792893,0.47712317,0.4997043,0.4930183,0.50375926
2024-08-22,1,-0.0558326123008874,7.310569752826675,5.8875764216626,0.53748566,0.4858724,0.49223766,0.46077096,0.5321822,0.4476142,0.4582438,0.5116431,0.5065655,0.5221082,0.5404347,0.52085024,0.5027149,0.38080445,0.5271572,0.5725958,0.48531324,0.45711926,0.5057212,0.57801515,0.5610403,0.52694875,0.59840137,0.61968523,0.44756138,0.43229738,0.55916655,0.50404835,0.46077853,0.47558656,0.54976887,0.49599943,0.50113297,0.52836585,0.5382281,0.5064697,0.509502,0.4797225,0.58904743,0.5660832,0.51811814,0.4965277,0.49931246,0.44832608,0.6208671,0.5801128,0.5322969,0.56442755,0.5053708,0.46681055
2024-08-23,1,-0.7936813386500969,0.7115159712036401,0.18685710918961998,0.45677337,0.5427765,0.5213678,0.4462024,0.52220446,0.4568465,0.66069555,0.49203762,0.49931246,0.48691306,0.41744617,0.55617255,0.4819822,0.7476635,0.49845105,0.488734,0.5231191,0.5294838,0.5045852,0.5872823,0.47828773,0.5212216,0.6673891,0.58316845,0.5392693,0.6618545,0.5331258,0.54582614,0.59712034,0.4985406,0.41269204,0.48053107,0.47573173,0.6032127,0.5889116,0.60298294,0.5077359,0.52692133,0.59003,0.606963,0.58147615,0.44569162,0.46887586,0.60174775,0.45934036,0.46158025,0.490496,0.48598227,0.52323526,0.5506784
2024-08-24,1,-0.5999223185022965,1.3053909667685333,0.09813284334160999,0.54108095,0.522461,0.57257843,0.5422787,0.5111804,0.51205796,0.620695,0.48687202,0.5330321,0.4758387,0.5987812,0.49050793,0.504176,0.64213914,0.48314795,0.45142117,0.5326628,0.5780286,0.48973602,0.58872634,0.47702897,0.535818,0.5042488,0.56596553,0.53672194,0.49970937,0.598622,0.49858412,0.4918425,0.4903243,0.48825714,0.49916336,0.5049139,0.45567298,0.5153356,0.53099334,0.5365057,0.5268749,0.52492285,0.5319488,0.48081332,0.5850704,0.5042275,0.567591,0.5576699,0.5016819,0.5122476,0.50580454,0.46933675,0.50750244
2024-08-25,0,-2.235961518721484,0.4055918101610082,-2.1818360418123,0.53817564,0.5969233,0.53568095,0.5009505,0.49436945,0.5622664,0.56601334,0.4585742,0.5171386,0.5090677,0.63976,0.5908113,0.5196584,0.6961431,0.52345026,0.66039383,0.5223052,0.50786316,0.5370021,0.63362074,0.5476424,0.48280436,0.58418685,0.5787498,0.46274695,0.52713025,0.58113825,0.49612942,0.5719786,0.48963767,0.5251679,0.508464,0.5516341,0.60705703,0.53495157,0.5052148,0.5287719,0.5198456,0.60095114,0.5933668,0.5743091,0.5463423,0.52335685,0.6646333,0.588066,0.5305225,0.5177825,0.578192,0.5651714,0.54971105
2024-08-26,0,-7.9467110239651,0.599782830361245,-5.594960850125521,0.36765367,0.41699547,0.46007276,0.43306953,0.5321822,0.5397237,0.27899227,0.46913803,0.46823552,0.48691306,0.29118928,0.40169898,0.5247619,0.28718075,0.52604127,0.33860528,0.5288927,0.46934336,0.5016767,0.536714,0.5264185,0.47449455,0.39368567,0.39373475,0.47092333,0.55393326,0.40344062,0.45542818,0.408742,0.47500896,0.44786307,0.4797225,0.46331096,0.5092157,0.39891964,0.4890106,0.5046744,0.5311594,0.4305825,0.32850707,0.41638273,0.5356069,0.4786175,0.4520146,0.3679971,0.4447079,0.507605,0.52833045,0.46642485,0.44904548
2024-08-27,0,-2.652042019400058,1.3706526943900077,-0.64179252947433,0.77773213,0.60419923,0.5269587,0.5427492,0.5112978,0.5396725,0.79304945,0.5759806,0.5096866,0.48691306,0.6803986,0.67577857,0.5313345,0.81142586,0.47772008,0.4924559,0.5358297,0.48395658,0.50520027,0.5600466,0.51586854,0.50494975,0.6255579,0.674653,0.53811544,0.58900344,0.5324319,0.5262692,0.7640555,0.51640385,0.55020005,0.508464,0.5120287,0.5790543,0.51554435,0.62436086,0.56458783,0.5198456,0.61006016,0.70555884,0.5608776,0.6524485,0.5197033,0.69023436,0.5424534,0.54491544,0.5177825,0.5542335,0.5242231,0.54897773
2024-08-28,1,-0.5466094177197327,3.547887046883977,0.54751263752269,0.24609397,0.3864628,0.41697875,0.5122305,0.48507974,0.4343378,0.20648447,0.45028704,0.46949026,0.51139754,0.3756559,0.30626297,0.49537927,0.30795056,0.43686718,0.2796047,0.49782228,0.46960106,0.5488995,0.49622,0.47585824,0.4751722,0.37078467,0.3690597,0.4529082,0.41318315,0.43317065,0.4426485,0.27715555,0.44072795,0.4686802,0.46782148,0.4898563,0.39273876,0.41247386,0.45731932,0.40884218,0.4797225,0.3903833,0.33498657,0.42062762,0.34481177,0.48732445,0.32876965,0.40628055,0.489894,0.5226823,0.32790253,0.414182,0.46129858
2024-08-29,0,-2.8327683365354126,0.9808039995427305,-0.39671566087142,0.3312291,0.39467958,0.47442874,0.45889896,0.4739383,0.4753277,0.37133643,0.52836156,0.4797225,0.48691306,0.30759755,0.54161435,0.5155574,0.45142525,0.49414176,0.53268635,0.4787782,0.49470705,0.49666476,0.52482295,0.4460304,0.4622499,0.35568395,0.63066524,0.4587073,0.48260993,0.62501115,0.4720264,0.54859847,0.54986036,0.48321742,0.49916336,0.48914495,0.5756866,0.57674515,0.50485194,0.5213241,0.5198456,0.5520009,0.46199018,0.45657068,0.48438045,0.5057809,0.4042289,0.626662,0.48181194,0.5075309,0.50940263,0.52636516,0.47710162
2024-08-30,0,-0.644774406444964,0.5707079463983532,-0.25402649674755,0.6068437,0.45844778,0.5446732,0.48263648,0.47256887,0.45167628,0.42862326,0.5266958,0.4992344,0.48442245,0.47681314,0.5145962,0.46913818,0.5126179,0.45824835,0.539395,0.54246175,0.47005472,0.5234242,0.5347619,0.4596169,0.5444396,0.3452471,0.5712564,0.5399099,0.46917748,0.46119168,0.53555566,0.50970674,0.49759018,0.47396854,0.49092534,0.52853155,0.5229871,0.417982,0.4946181,0.46600094,0.47092965,0.46364322,0.52066547,0.60614467,0.5113923,0.53097194,0.6208245,0.5016309,0.5065607,0.5177825,0.5464971,0.5088131,0.46833548
