tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_023,model_gru_020,model_gru_048,model_gru_041,model_gru_014,model_gru_049,model_gru_040,model_gru_047,model_gru_029,model_gru_039,model_gru_007,model_gru_004,model_gru_006,model_gru_002,model_gru_046,model_gru_010,model_gru_015,model_gru_019,model_gru_028,model_gru_050,model_gru_033,model_gru_031,model_gru_035,model_gru_045,model_gru_008,model_gru_026,model_gru_025,model_gru_030,model_gru_037,model_gru_024,model_gru_043,model_gru_011,model_gru_017,model_gru_003,model_gru_016,model_gru_027,model_gru_044,model_gru_001,model_gru_009,model_gru_036,model_gru_034,model_gru_032,model_gru_018,model_gru_042,model_gru_005,model_gru_012,model_gru_022,model_gru_038,model_gru_021,model_gru_013
2025-03-09,0.0,-4.140387080009904,4.112109870918619,-2.68453567037924,0.40533018,0.43667245,0.41181195,0.42396274,0.40827167,0.47290093,0.4169614,0.44113132,0.3699287,0.3678328,0.4741149,0.46839955,0.44314784,0.4402001,0.46718544,0.48725402,0.44272164,0.45172688,0.43476656,0.45994774,0.46222648,0.4504499,0.42594203,0.40281957,0.39375016,0.432374,0.41208273,0.39306182,0.4672962,0.40064418,0.46738088,0.53694147,0.4328908,0.45709458,0.44446686,0.4211075,0.42801362,0.39729777,0.37155268,0.4637761,0.42596197,0.41968095,0.40649807,0.49786997,0.39938203,0.34671694,0.34599993,0.40172124,0.39746717,0.44724396
2025-03-10,1.0,-2.5643623631515733,6.193260611284761,5.37139060247328,0.47218412,0.40496895,0.44558045,0.4545316,0.4453893,0.43003163,0.43884215,0.48660496,0.3930425,0.40394515,0.4588969,0.4516531,0.47904697,0.42490345,0.44341338,0.49031115,0.44433233,0.45508045,0.46716905,0.49075904,0.4463698,0.4450326,0.49732545,0.4527152,0.44103187,0.43760452,0.41789743,0.3929971,0.4567061,0.42317346,0.501213,0.49177098,0.45092255,0.47653687,0.49101314,0.4277501,0.48332667,0.4131372,0.41560444,0.44970763,0.4281044,0.4167339,0.4618898,0.4931724,0.3231854,0.40298662,0.41356608,0.4211705,0.43258625,0.47338867
2025-03-11,1.0,-2.843937415698369,1.919008851208709,0.8968502033038599,0.48460576,0.45199764,0.4876314,0.49944475,0.44699508,0.47816187,0.495813,0.46607214,0.43109524,0.4179241,0.49497688,0.5206061,0.47592866,0.4719375,0.48470315,0.46714568,0.4554423,0.48853424,0.48633817,0.5073355,0.46742555,0.46639776,0.48113135,0.46610153,0.45198858,0.47515324,0.4727706,0.4412271,0.45341387,0.4302414,0.46860862,0.48518378,0.4824687,0.46920982,0.46841487,0.45374477,0.48143023,0.4339819,0.41673172,0.4607549,0.45945007,0.4597722,0.4431161,0.48975712,0.35163665,0.39927295,0.45135656,0.41132015,0.45388898,0.49059704
2025-03-12,0.0,-4.572633200580999,0.7811298674943793,-3.11239175565561,0.43412438,0.36038932,0.39593917,0.4911704,0.37307793,0.50001633,0.5087721,0.40895182,0.33821306,0.3144808,0.4991807,0.52554774,0.45590678,0.48319542,0.5041954,0.4736957,0.4885635,0.46393535,0.48231053,0.49190363,0.49317676,0.4738677,0.45275772,0.42940196,0.38378674,0.48404527,0.429474,0.37662536,0.47480544,0.37475526,0.4371971,0.5086067,0.4714536,0.47093865,0.45127177,0.43744582,0.4673643,0.39183944,0.3707273,0.44099194,0.40417966,0.4225663,0.3928423,0.4899034,0.31604475,0.391683,0.3571032,0.356986,0.41277665,0.44545165
2025-03-13,1.0,-0.3667410129070976,5.041076475436591,3.47392620472014,0.5028383,0.43487516,0.47612908,0.4739389,0.39683023,0.4979963,0.5080436,0.46262383,0.40766016,0.4049516,0.49874154,0.5068603,0.45739475,0.49962085,0.49621326,0.4688774,0.48354253,0.5019231,0.4967935,0.47945336,0.4777656,0.47966823,0.45395976,0.4618835,0.44155142,0.48776853,0.472849,0.42727622,0.46454245,0.44015104,0.42374665,0.50673467,0.4924102,0.47019443,0.4646551,0.46781084,0.49296397,0.4263718,0.41060418,0.48120964,0.43806013,0.46296498,0.4181648,0.48602822,0.41913506,0.44937024,0.39917848,0.40545592,0.45028782,0.45069477
2025-03-14,1.0,-0.4357970921293623,0.8218736371313496,0.4220972745167,0.49839312,0.4558162,0.50249517,0.48457366,0.4332042,0.5185593,0.5221773,0.49380445,0.49041238,0.46516195,0.5018098,0.5097621,0.48165944,0.5274683,0.5091429,0.46747985,0.47835624,0.517083,0.5300225,0.5021333,0.4856391,0.50492203,0.48972842,0.46954152,0.47205862,0.5089716,0.4851023,0.44655,0.48881063,0.46067792,0.45608255,0.5271573,0.5205742,0.49740747,0.49430388,0.5035289,0.51308864,0.43279833,0.41826895,0.5091041,0.4802573,0.4807138,0.4431089,0.513558,0.42665207,0.4619134,0.419737,0.4231994,0.4587362,0.45025408
2025-03-15,0.0,-2.834877473419619,0.9189498966785624,-2.11364721204962,0.49147117,0.4471301,0.50142044,0.52014387,0.4485665,0.55851716,0.54566324,0.4873539,0.48434278,0.43148336,0.54724956,0.54371446,0.52425015,0.5454955,0.55639404,0.49661747,0.5516414,0.55574805,0.56884116,0.52851105,0.52842736,0.54089224,0.5302899,0.5128999,0.48114106,0.5521152,0.51013285,0.487612,0.53334224,0.4674743,0.50034434,0.54054105,0.5582386,0.54713553,0.53753805,0.5390768,0.53901404,0.47975037,0.44786322,0.5444038,0.5273585,0.521669,0.49564698,0.5374975,0.434165,0.49436915,0.4127704,0.43928695,0.4730523,0.49010426
2025-03-16,1.0,-0.1436461730825812,2.608505351854652,1.72349170117196,0.41006774,0.41321328,0.46461618,0.45137978,0.39773437,0.4745782,0.44341695,0.42251953,0.41290334,0.37100983,0.48595574,0.46519467,0.47103548,0.4387318,0.4678599,0.5085732,0.51699567,0.46200418,0.46511996,0.46260494,0.46341512,0.4700691,0.4537108,0.4459698,0.37182286,0.4459184,0.41421616,0.41416135,0.48945495,0.40122905,0.48562256,0.5203701,0.46396706,0.48437887,0.46767166,0.4378834,0.44609368,0.42005056,0.40212658,0.4671437,0.42791003,0.4332005,0.40384147,0.4942524,0.40953436,0.41324186,0.3440972,0.4047982,0.3990923,0.44311264
2025-03-17,0.0,-3.482595304093741,0.0139378404678702,-1.55348697269551,0.46351433,0.4306229,0.4849054,0.47925466,0.4523295,0.44618365,0.44983888,0.4550885,0.4531135,0.43069202,0.46554765,0.44774058,0.49780685,0.41298226,0.4430282,0.49783552,0.49237937,0.46606743,0.4816644,0.48592415,0.44560498,0.45635173,0.49766204,0.48528498,0.44006366,0.44008473,0.43004733,0.4337476,0.47696936,0.42881376,0.51578385,0.4906079,0.462341,0.49078965,0.4844332,0.4452875,0.4823702,0.45487532,0.43688372,0.46063325,0.4461999,0.45067507,0.45061126,0.47463146,0.4113555,0.44914556,0.3922326,0.43642232,0.43475932,0.46643272
2025-03-18,1.0,-0.2031560367638926,5.050679190450183,4.87344175789443,0.47408646,0.45982173,0.52037936,0.50911057,0.47459596,0.48069024,0.4930538,0.44137874,0.4858404,0.42086074,0.476073,0.49358678,0.47955197,0.45349514,0.45737165,0.4541911,0.4585374,0.48090905,0.49365556,0.48805958,0.4372221,0.44657183,0.47034317,0.48822957,0.45677137,0.45307684,0.48525584,0.48139367,0.4572997,0.44037127,0.4728697,0.48114812,0.4777189,0.46070647,0.45949316,0.46484667,0.48234418,0.469474,0.42342776,0.47790265,0.46600923,0.4965595,0.43602598,0.46346188,0.40058765,0.4358021,0.414167,0.4189385,0.44316554,0.47452268
