tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_013,model_gru_033,model_gru_048,model_gru_030,model_gru_016,model_gru_025,model_gru_027,model_gru_037,model_gru_008,model_gru_042,model_gru_026,model_gru_005,model_gru_044,model_gru_038,model_gru_039,model_gru_050,model_gru_012,model_gru_028,model_gru_002,model_gru_047,model_gru_043,model_gru_011,model_gru_035,model_gru_036,model_gru_046,model_gru_019,model_gru_024,model_gru_034,model_gru_018,model_gru_001,model_gru_007,model_gru_041,model_gru_006,model_gru_045,model_gru_009,model_gru_010,model_gru_021,model_gru_040,model_gru_015,model_gru_023,model_gru_017,model_gru_004,model_gru_022,model_gru_003,model_gru_029,model_gru_032,model_gru_049,model_gru_031,model_gru_020,model_gru_014
2025-06-17,1.0,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.5089374,0.34309325,0.46262363,0.559401,0.62551576,0.5888737,0.59251106,0.5162588,0.54980433,0.5505633,0.50168407,0.5813685,0.5687111,0.54826707,0.51151717,0.5493264,0.51739913,0.52411497,0.53193927,0.57658446,0.61031675,0.559281,0.5352306,0.5542568,0.5134095,0.5158263,0.5514785,0.5266565,0.50257593,0.57119435,0.6124712,0.59309274,0.6286406,0.47764093,0.5215959,0.52993846,0.57040256,0.50612146,0.6092039,0.50918704,0.5493182,0.5536402,0.6074061,0.5745531,0.5569091,0.6603988,0.509198,0.42812896,0.6036641,0.5375342
2025-06-18,0.0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.37937403,0.21305181,0.4061041,0.44417542,0.40758917,0.4223734,0.4187075,0.36228696,0.409013,0.41253626,0.35151255,0.3993122,0.44874743,0.4593759,0.36837372,0.43900105,0.37311995,0.37584454,0.4630417,0.4418251,0.4182465,0.38626117,0.31697696,0.36967257,0.34004977,0.36629546,0.45885342,0.39990756,0.42315784,0.43027186,0.4044257,0.39350075,0.42205653,0.33726802,0.39886576,0.39303923,0.39830926,0.33411446,0.40384448,0.35910606,0.41637075,0.39060834,0.50529057,0.38733742,0.39812043,0.14125226,0.45119897,0.38873178,0.42933345,0.48909834
2025-06-19,0.0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.55023444,0.437051,0.47011042,0.53156173,0.45011365,0.48191103,0.49120542,0.5894613,0.5184553,0.5250455,0.5119565,0.4974076,0.50048745,0.5071155,0.47365135,0.5293119,0.46264628,0.56007123,0.50271773,0.48913583,0.47477394,0.45679465,0.48148385,0.45295888,0.29406235,0.4941228,0.51840633,0.4641516,0.42255065,0.5126755,0.45802444,0.43684277,0.45332408,0.44447368,0.4959472,0.48051584,0.4604229,0.44563076,0.45557094,0.4307957,0.5044486,0.49106047,0.54045546,0.45190555,0.5072295,0.07432304,0.33719638,0.3652864,0.48542175,0.4677849
2025-06-20,0.0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.56492394,0.51046103,0.49036527,0.5221414,0.4848505,0.47584954,0.46833885,0.5057479,0.5204803,0.5410673,0.5751534,0.52117974,0.4783432,0.48918363,0.51579773,0.5496006,0.4844698,0.6062338,0.5124511,0.5318635,0.5200761,0.55416936,0.50548196,0.5115131,0.53487307,0.56719184,0.5123344,0.47153628,0.53041875,0.5463454,0.4819397,0.48056605,0.4516563,0.6057186,0.5288559,0.5148184,0.4858475,0.52846926,0.46678832,0.5815113,0.5320136,0.5076373,0.52696055,0.5478457,0.48667067,0.21517257,0.53315425,0.5276548,0.4786295,0.45304832
2025-06-21,0.0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.54712534,0.60645914,0.5427368,0.5425777,0.55010575,0.55014855,0.5192276,0.50551593,0.5216696,0.5842783,0.5497441,0.552242,0.5270457,0.532956,0.5704405,0.5845416,0.54426825,0.5907397,0.57469463,0.55610615,0.57179546,0.5596418,0.58777916,0.5407218,0.5946231,0.58175635,0.56890535,0.5618594,0.5720711,0.57495254,0.54139537,0.54566187,0.53319716,0.57383525,0.5806622,0.5593729,0.5326847,0.57340723,0.53968114,0.49905264,0.62113094,0.54353505,0.5897784,0.5924889,0.55809164,0.78293014,0.6636669,0.5633318,0.52999675,0.50471365
2025-06-22,1.0,-1.3466739094160756,4.937611915541193,4.23728593887924,0.3968157,0.4597421,0.40417054,0.3879537,0.3754307,0.39654094,0.39243236,0.40198323,0.40236443,0.4023971,0.38862452,0.36950007,0.3615685,0.37735468,0.35180622,0.4066643,0.38844773,0.4292342,0.3971772,0.39839876,0.41898683,0.3878803,0.39822137,0.40184155,0.46341988,0.42435265,0.41135564,0.43752933,0.44077456,0.41035426,0.37559655,0.40366435,0.38912612,0.40685898,0.4094722,0.42227757,0.43363526,0.4241726,0.3600672,0.3964129,0.45666274,0.44554353,0.38748476,0.44335753,0.45168263,0.8788096,0.44023263,0.40342852,0.4083663,0.40765753
2025-06-23,1.0,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.4549326,0.53738433,0.45717132,0.4708234,0.54376894,0.51297927,0.527574,0.50203156,0.48222584,0.4708085,0.48218837,0.4958344,0.46124187,0.4687188,0.4141315,0.4393638,0.46596286,0.49629557,0.46665034,0.4557702,0.506126,0.46885046,0.50381714,0.49379197,0.43088338,0.46884638,0.47327703,0.50969636,0.48883614,0.45200154,0.5027252,0.506814,0.5346486,0.47845757,0.45108387,0.47955614,0.5337264,0.48857176,0.49763575,0.46746844,0.46360582,0.5531228,0.49385795,0.52272034,0.566866,0.5911886,0.40889692,0.43672115,0.53098536,0.49645865
2025-06-24,1.0,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.47628653,0.30735764,0.44014978,0.49545407,0.5710504,0.54906166,0.54729927,0.31432277,0.5230113,0.50737494,0.47205457,0.53058076,0.5449384,0.51091045,0.45671815,0.4988877,0.47940743,0.49297577,0.5004864,0.5503592,0.5651115,0.52306783,0.4688675,0.5098643,0.37227336,0.4856341,0.52008176,0.46375367,0.3911938,0.5339656,0.57597023,0.54893756,0.576554,0.4399545,0.48773417,0.4931672,0.5170628,0.45510232,0.563486,0.39343283,0.48784646,0.49172464,0.5624063,0.52710813,0.5273591,0.6483107,0.48657593,0.33998713,0.5400443,0.5316209
2025-06-25,0.0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.3846549,0.1725173,0.39115033,0.4379574,0.3900505,0.4230821,0.4088595,0.22853932,0.40059957,0.40424046,0.38182953,0.39152735,0.44077167,0.44768,0.3961955,0.43049252,0.38140705,0.3978644,0.43295076,0.4412883,0.4105003,0.39074197,0.3493984,0.3706647,0.35081622,0.37387553,0.4425031,0.3601317,0.32136413,0.40019152,0.40519282,0.38089818,0.4359612,0.3070954,0.38698983,0.37409398,0.4051581,0.3400801,0.4187571,0.31206346,0.40000954,0.37356603,0.49323612,0.3960623,0.40645036,0.099138394,0.2197954,0.3081972,0.4017471,0.44601503
2025-06-26,1.0,-0.553484233859804,0.734371837348212,0.09395562683026999,0.57776266,0.71167177,0.48801982,0.54687274,0.49595568,0.4964739,0.48015782,0.7242249,0.5156458,0.5358079,0.5563182,0.50284237,0.49272138,0.5005352,0.525459,0.5403896,0.48786396,0.593868,0.5041606,0.49928427,0.5013284,0.54621184,0.5121831,0.47796485,0.47789362,0.5332074,0.50549597,0.49072224,0.4600977,0.5062918,0.47667557,0.4465433,0.497424,0.6231567,0.50637513,0.5115943,0.49094394,0.5082624,0.4741508,0.5765606,0.5136415,0.50927603,0.5447873,0.4927006,0.5149162,0.50317657,0.6101526,0.5959066,0.47821563,0.4435081
2025-06-27,1.0,-0.2207809683068492,0.4940340020419263,0.23252311283283,0.55065984,0.41888726,0.4863578,0.5141929,0.4610943,0.47111455,0.44787428,0.3187885,0.5000041,0.5327649,0.5403428,0.49501634,0.46888065,0.47355682,0.49367917,0.53789955,0.46648452,0.55893344,0.5006374,0.50999653,0.5046454,0.54003966,0.48467088,0.47454762,0.45635262,0.5438618,0.4980204,0.4467512,0.41249886,0.5286207,0.47706696,0.47492915,0.46179858,0.53900963,0.51368064,0.4867681,0.4773388,0.5204453,0.44856498,0.38801858,0.5111515,0.4793453,0.5171273,0.53444344,0.48744282,0.7033231,0.5020692,0.4596565,0.4548882,0.4320022
2025-06-28,1.0,-0.1158860574572998,1.1414078232974283,0.98319522617791,0.5034685,0.48028705,0.5056649,0.50757957,0.48612642,0.50673467,0.47156703,0.5440781,0.48269245,0.5481758,0.51109177,0.50477815,0.4844605,0.49987653,0.51174164,0.5540847,0.49993956,0.5355197,0.5369234,0.5184301,0.52937424,0.52314746,0.5333726,0.49143565,0.49659958,0.52958846,0.5262815,0.4821928,0.43610877,0.52830845,0.5022708,0.49941328,0.49421513,0.52568984,0.53840333,0.5093063,0.4954581,0.5336118,0.49044445,0.5256511,0.55801594,0.48193827,0.5529903,0.55704135,0.51773465,0.7518678,0.6145626,0.503364,0.48132008,0.46629718
2025-06-29,0.0,-1.5097204663893125,0.3988641184857484,-1.1233628430860298,0.35150093,0.3748507,0.36834693,0.3608608,0.3294018,0.35174674,0.3432553,0.38734427,0.3658883,0.37067854,0.37527373,0.33016542,0.32175273,0.34823918,0.31356806,0.3832734,0.3628677,0.4150121,0.36184406,0.3793049,0.3830099,0.3818745,0.35248312,0.36867246,0.3650122,0.38178682,0.36657184,0.39002225,0.34638318,0.36830658,0.33918115,0.35296273,0.35105404,0.37859717,0.3749349,0.40424037,0.41743556,0.4036762,0.323387,0.3052054,0.40319926,0.40806496,0.36219802,0.42407387,0.40537968,0.06363695,0.3615159,0.3608222,0.3678091,0.36174744
2025-06-30,0.0,-1.7850508357674668,0.3665814484476102,-1.37706094588064,0.41510904,0.5037161,0.4362041,0.47471705,0.5235331,0.4982051,0.50621796,0.5088883,0.46941304,0.4672627,0.4815683,0.49669746,0.4482159,0.466724,0.40728483,0.42773408,0.45944005,0.49563438,0.46615142,0.4488529,0.5026909,0.47670162,0.48099548,0.47969392,0.4600991,0.45475087,0.4572297,0.4842427,0.44147334,0.42777693,0.48346895,0.48366565,0.53280854,0.47452515,0.43644378,0.47333193,0.54528713,0.48313183,0.48609707,0.44998568,0.449489,0.5494722,0.50512356,0.5362202,0.5560545,0.56739247,0.5515855,0.46228296,0.5267977,0.47455096
2025-07-01,1.0,-0.5512361754884786,3.759635556445826,2.95406654537451,0.4389317,0.2992058,0.43079546,0.5040019,0.57566756,0.55787903,0.53833073,0.49069938,0.5190725,0.5121677,0.46623042,0.539987,0.53455335,0.5142305,0.44720507,0.5202109,0.4809744,0.49227637,0.5013165,0.55520433,0.5635518,0.5379245,0.46857822,0.5185383,0.34994528,0.4872823,0.51617783,0.4735567,0.41661757,0.5333416,0.5743749,0.5516428,0.58719903,0.49797186,0.48592636,0.4985129,0.5298635,0.45066166,0.5566469,0.4049896,0.48312056,0.50454205,0.5664331,0.5493615,0.521319,0.18232419,0.4566707,0.38984948,0.5546025,0.5221514
