tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_031,model_xgb_025,model_xgb_034,model_xgb_022,model_xgb_013,model_xgb_040,model_xgb_021,model_xgb_028,model_xgb_047,model_xgb_005,model_xgb_033,model_xgb_049,model_xgb_011,model_xgb_032,model_xgb_043,model_xgb_026,model_xgb_009,model_xgb_010,model_xgb_029,model_xgb_019,model_xgb_002,model_xgb_015,model_xgb_016,model_xgb_004,model_xgb_046,model_xgb_048,model_xgb_020,model_xgb_042,model_xgb_001,model_xgb_035,model_xgb_044,model_xgb_012,model_xgb_018,model_xgb_024,model_xgb_003,model_xgb_030,model_xgb_038,model_xgb_007,model_xgb_014,model_xgb_036,model_xgb_045,model_xgb_027,model_xgb_008,model_xgb_006,model_xgb_039,model_xgb_017,model_xgb_050,model_xgb_041,model_xgb_037,model_xgb_023
2026-01-03,1,-1.1034116873888166e-05,1.2957897739232105,0.99005111234531,0.4956826,0.48393908,0.489853,0.5068168,0.494733,0.47624868,0.4876664,0.4744532,0.45474327,0.47291425,0.48976296,0.47642156,0.49340132,0.49532896,0.46538803,0.4944438,0.49513975,0.49517915,0.48076043,0.46782106,0.49925312,0.47335127,0.4636098,0.5036696,0.47657,0.47419274,0.47154,0.45675853,0.4835277,0.48075977,0.5060368,0.46119696,0.46513173,0.5022867,0.502414,0.5118497,0.4896145,0.48485273,0.47728074,0.46157944,0.48229823,0.47157368,0.47431028,0.50059843,0.48894966,0.4769923,0.4712997,0.5045551,0.49212873,0.48742372
2026-01-04,1,-0.0163020432437238,3.4990375212865805,2.5137383113592904,0.5138086,0.5012767,0.5421057,0.5109224,0.52096677,0.55873877,0.52226096,0.52208835,0.51627165,0.53582877,0.51639175,0.51147765,0.493191,0.5689431,0.5347024,0.53191316,0.52088934,0.4946351,0.5162721,0.52785826,0.5375244,0.5142205,0.5459072,0.50781095,0.51837534,0.53344905,0.5359887,0.55200255,0.5214679,0.5195991,0.5383557,0.5561189,0.56581,0.5259549,0.50760055,0.4907624,0.5375529,0.565528,0.5732779,0.48025635,0.5390495,0.5035657,0.51872814,0.5146411,0.5358286,0.5218128,0.54818875,0.499273,0.5704231,0.5152331
2026-01-05,0,-2.805643002547868,0.6210504435895601,-0.11912093706725,0.48709807,0.4874466,0.46780708,0.49355134,0.49902356,0.47308618,0.5112932,0.48680574,0.48103175,0.46772668,0.4630238,0.46252793,0.4807244,0.46993524,0.48235938,0.48005572,0.47939646,0.48408955,0.45676008,0.4963724,0.49232978,0.46732256,0.47685012,0.48985797,0.4585363,0.45969984,0.4481502,0.49917716,0.4858691,0.4806475,0.49167633,0.4539211,0.45356125,0.4778806,0.48818597,0.47706142,0.48621157,0.45620272,0.47000438,0.47364998,0.49438477,0.4733034,0.49625286,0.50020343,0.46601212,0.45769724,0.46459147,0.49101692,0.4698597,0.5025954
2026-01-06,0,-3.3322591363202543,0.0,-2.57567322610848,0.51904255,0.52823615,0.5304787,0.5115711,0.5153372,0.52592427,0.5196304,0.50731647,0.5308638,0.5538846,0.5854828,0.53972465,0.5393272,0.5496873,0.5197237,0.547806,0.52088934,0.5295881,0.5288718,0.5283071,0.5316204,0.5143719,0.5307173,0.50781095,0.53926,0.5390134,0.557182,0.54180783,0.51454973,0.51974064,0.53245556,0.5496225,0.53288704,0.52493167,0.5227012,0.54566866,0.544746,0.5529259,0.5223156,0.5510884,0.53334606,0.5187775,0.5277938,0.53270763,0.5335304,0.54711974,0.54051596,0.5151585,0.54186106,0.5388239
2026-01-07,0,-2.2728618434127457,0.3538121107200562,-0.28955845252425,0.50987345,0.497036,0.45313916,0.50849074,0.4867139,0.4768772,0.48150408,0.48265257,0.4518371,0.45979437,0.43957254,0.50373733,0.46508026,0.46488717,0.48124972,0.48046216,0.501688,0.49457702,0.48436046,0.4781675,0.49280214,0.48399466,0.44751137,0.5004812,0.4562818,0.5032708,0.45481184,0.4604531,0.47996065,0.49976963,0.48153526,0.49016228,0.4566666,0.48365662,0.4986655,0.49883258,0.48888093,0.44289657,0.46781945,0.50498194,0.5086641,0.49275592,0.4937518,0.48244688,0.47307017,0.48539275,0.4820504,0.5057234,0.49729496,0.4493531
2026-01-08,0,-1.5546458976333632,1.0727762843917097,-0.50479560758538,0.5057679,0.49900433,0.5303881,0.5042027,0.52781296,0.5363648,0.5273493,0.5148951,0.51383376,0.51422036,0.5539074,0.50770706,0.5057487,0.50113654,0.5233414,0.5245226,0.50309265,0.50237876,0.5149969,0.5047071,0.54707724,0.5100574,0.5066469,0.5004812,0.4980621,0.49849287,0.52084213,0.52274895,0.51529,0.5075897,0.5154754,0.50045437,0.50552714,0.5239443,0.5060324,0.52556974,0.51931673,0.55003715,0.5463983,0.5246479,0.5291321,0.5074057,0.5013107,0.5483683,0.5028769,0.52244294,0.49877313,0.5057234,0.56758815,0.4908109
2026-01-09,0,-0.2621224213731839,0.2101908007801602,-0.15079553615388,0.5138086,0.53022766,0.53502226,0.5109224,0.53410363,0.5280407,0.51078933,0.5255009,0.46920666,0.5561361,0.53335226,0.5383291,0.5249358,0.51939994,0.53082144,0.5236862,0.52088934,0.5331697,0.5288046,0.5232363,0.5199152,0.5354373,0.53553456,0.50781095,0.5151041,0.52002645,0.5360232,0.5403637,0.5253728,0.5134615,0.53701335,0.5432528,0.5316675,0.51032454,0.523352,0.5183458,0.5250045,0.5246843,0.5143287,0.5267113,0.5010058,0.5333003,0.51872814,0.53923106,0.5361171,0.4934135,0.5192589,0.5151585,0.5201288,0.52639025
2026-01-10,1,-0.2973322532852666,0.8572537712954149,0.56077122089449,0.4673066,0.48276347,0.46044663,0.47382,0.4547542,0.463154,0.47716355,0.45501873,0.4492847,0.4912608,0.50632566,0.46056393,0.45061523,0.49383226,0.47496912,0.50333154,0.49342692,0.4683447,0.47933495,0.48008892,0.4801336,0.4724265,0.46724424,0.48985797,0.4712051,0.48416054,0.47996274,0.48330724,0.49894822,0.48452488,0.4721533,0.4569105,0.48215035,0.4513556,0.47145858,0.47099587,0.4896485,0.48300064,0.45115712,0.4606834,0.4331183,0.45948625,0.49963364,0.46525607,0.4566277,0.47528455,0.47989243,0.49101692,0.45363444,0.51629347
2026-01-11,1,-0.9773731181856038,1.641480167142524,0.3099670437196,0.50052845,0.48467952,0.4936616,0.50355375,0.5043423,0.44351536,0.4881428,0.5208066,0.47675207,0.4578532,0.47086638,0.4912983,0.49239346,0.48681775,0.49920163,0.48321107,0.49173543,0.49744388,0.52072835,0.47092056,0.5053629,0.50615597,0.46413675,0.5004812,0.4723673,0.48345292,0.44846454,0.4905757,0.50604093,0.49348387,0.42455146,0.4443272,0.4776978,0.51998186,0.49931768,0.4893831,0.49130434,0.44579333,0.5058514,0.44673517,0.46982726,0.48067212,0.4937518,0.5039226,0.51706034,0.49917227,0.494347,0.5057234,0.49241874,0.47929972
2026-01-12,1,-0.2780977827798945,5.538202782590246,4.4116152506374195,0.5231418,0.5360945,0.54959023,0.51585656,0.5438148,0.5719853,0.55038273,0.52276677,0.5461665,0.53372806,0.5670838,0.5531752,0.5679635,0.5496873,0.5426754,0.55114675,0.52088934,0.5295881,0.5288718,0.5520089,0.5358103,0.5354373,0.5522316,0.50781095,0.5713515,0.53658724,0.5677248,0.5686372,0.55536425,0.52754366,0.5643317,0.56696707,0.55065507,0.52895415,0.5227012,0.53902924,0.5493266,0.5373915,0.5573364,0.55267143,0.5393145,0.5276396,0.5277857,0.5460985,0.5375267,0.54911053,0.54477155,0.5151585,0.554893,0.5527772
