timestamp,LOG_RET_OPEN,LOG_RET_HIGH,LOG_RET_LOW,LOG_RET_CLOSE,LOG_RET_VOL,LOG_RET_EMAS_CLOSE,LOG_RET_DXY_CLOSE,LOG_RET_VIX_CLOSE,SENTIMENT,LOG_ARTICLE,LOG_NEWS_SPIKE,IS_WEEKEND,TARGET_ARAH,TARGET_LOG,WASIT_LOW,WASIT_HIGH
2017-08-23,0.005958309583630625,0.0384678436464647,0.16598541429083183,0.018153529979108365,0.035018652831040706,0.0029526430372122,-0.004284971913297532,0.07630815945365708,1.0,1.791759469228055,0.25951119568508463,0,1,0.04793314240118538,-0.707404566278098,6.074915263672279
2017-08-24,0.026140489291185467,0.024517637964104805,0.017563330376438556,0.04793314240118538,-0.24013100399745302,-0.0018638076307166027,0.001394596087265614,-0.001634024721228221,0.5714285714285714,2.0794415416798357,0.6337237602320017,0,0,-0.008219488874826928,-1.600549845263652,3.1450997721763483
2017-08-25,0.03994618308910812,0.01863498748622601,0.0390016896113297,-0.008219488874826928,-0.3168056949451849,0.004652974660785244,-0.0058058535870457425,-0.08086068987236195,0.8,1.791759469228055,0.2972515236679316,0,1,0.013172436845751336,-1.6076945013443107,1.9964399024898538
2017-08-26,-0.008212480667047654,-0.01970608757169194,-0.008290935435633525,0.013172436845751336,-0.922135000522101,0.0,0.0,0.0,0.0,0.0,-21.996231512759298,1,0,-0.006344088025697059,-1.2037747211012644,1.4320228599938665
2017-08-27,0.012028167054835785,0.007528266420791588,0.01721163464818178,-0.006344088025697059,0.43009051437879714,0.0,0.0,0.0,1.0,0.6931471805599453,-1.3121863879661686,1,1,0.017634732065271153,-4.3985725881727324,2.0623406697927
2017-08-28,-0.005206826442560702,-4.0909927708828355e-05,-0.03829206669641174,0.017634732065271153,0.5434019248870456,0.013219738670856719,-0.005731281306367313,0.003539823418899511,-0.4,1.791759469228055,0.25951119568508463,0,1,0.04475589733430969,-1.681372538152453,5.30851814981508
2017-08-29,0.010074349430570045,0.050096506865495036,0.04480673256547398,0.04475589733430969,-0.0004912891946244025,0.002592669218827388,0.001517115500137932,0.03301777968553986,0.0,1.9459101490553132,0.37037378846356084,0,0,-0.007074588003020003,-3.8094280233176696,1.300073860744601
2017-08-30,0.047298786925173926,0.0046714544436048675,0.02347534248265747,-0.007074588003020003,0.29232140323322653,-0.003815051241845523,0.005722617695871955,-0.04189090160767624,0.0,1.0986122886681098,-0.6190392079062235,0,1,0.036588014556291786,0.0,4.092367667509822
2017-08-31,-0.0020570949591830288,0.020848350064632214,0.031019692230156846,0.036588014556291786,-0.3726543702586957,0.006173075893794918,-0.002263531978611005,-0.05778774987191694,0.375,2.1972245773362196,0.7295148248558201,0,1,0.02301823420963648,-1.4928148587224908,3.3437588465462014
2017-09-01,0.029152862330211908,0.029101926346655607,0.02165986596906696,0.02301823420963648,0.006638333436162206,0.006286269787906836,0.001509590462151015,-0.04440884446417235,0.8571428571428571,2.0794415416798357,0.5245244682670096,0,0,-0.07799547319489142,-12.030565154108032,2.1338835683267843
