timestamp,open,high,low,close,volume,emas_close,dxy_close,vix_close,sentiment_mean,article_count
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,1286.4000244140625,93.62000274658205,15.550000190734863,0.625,8.0
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,1285.699951171875,93.43000030517578,14.260000228881836,0.8,5.0
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,1285.699951171875,93.43000030517578,14.260000228881836,0.0,1.0
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,1285.699951171875,93.43000030517578,14.260000228881836,0.0,0.0
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,1290.800048828125,93.0999984741211,13.1899995803833,0.75,4.0
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,1285.0999755859375,93.5500030517578,11.350000381469728,0.0,4.0
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,1288.9000244140625,93.1500015258789,12.25,1.0,5.0
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,1286.5,93.27999877929688,12.229999542236328,0.5714285714285714,7.0
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,1292.5,92.73999786376952,11.279999732971191,0.8,5.0
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,1292.5,92.73999786376952,11.279999732971191,0.0,0.0
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,1292.5,92.73999786376952,11.279999732971191,1.0,1.0
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,1309.699951171875,92.20999908447266,11.31999969482422,-0.4,5.0
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,1313.0999755859375,92.3499984741211,11.699999809265137,0.0,6.0
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,1308.0999755859375,92.87999725341795,11.220000267028809,0.0,2.0
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,1316.199951171875,92.66999816894533,10.59000015258789,0.375,8.0
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,1324.5,92.80999755859376,10.130000114440918,0.8571428571428571,7.0
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595,1324.5,92.80999755859376,10.130000114440918,0.3333333333333333,3.0
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198,1324.5,92.80999755859376,10.130000114440918,1.0,2.0
2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614,1324.5,92.80999755859376,10.130000114440918,0.0,3.0
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157,1339.199951171875,92.30999755859376,12.229999542236328,0.16666666666666666,6.0
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726,1333.9000244140625,92.29000091552734,11.630000114440918,1.0,3.0
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975,1345.0999755859375,91.52999877929688,11.550000190734863,0.75,4.0
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046,1346.0,91.33000183105467,12.119999885559082,0.0,7.0
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952,1346.0,91.33000183105467,12.119999885559082,0.0,0.0
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275,1346.0,91.33000183105467,12.119999885559082,1.0,1.0
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065,1331.0,91.86000061035156,10.729999542236328,0.25,8.0
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.630319,1328.0,91.91000366210938,10.579999923706056,-0.3333333333333333,9.0
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.462545,1323.4000244140625,92.5199966430664,10.5,-0.375,8.0
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.021543,1324.699951171875,92.12000274658205,10.4399995803833,0.1,10.0
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.866492,1320.4000244140625,91.87000274658205,10.170000076293944,-0.25,12.0
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.563953,1320.4000244140625,91.87000274658205,10.170000076293944,1.0,2.0
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.17121,1320.4000244140625,91.87000274658205,10.170000076293944,0.0,0.0
2017-09-18,3690.0,4123.2,3690.0,4035.01,1030.006455,1306.300048828125,92.0500030517578,10.149999618530272,0.4,5.0
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129,1306.199951171875,91.79000091552734,10.18000030517578,0.125,8.0
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,1312.0,92.51000213623048,9.779999732971191,0.3333333333333333,6.0
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,1290.5999755859375,92.26000213623048,9.670000076293944,0.0,6.0
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,1293.300048828125,92.16999816894533,9.59000015258789,0.0,12.0
2017-09-23,3595.88,3817.19,3542.91,3780.0,752.792791,1293.300048828125,92.16999816894533,9.59000015258789,0.16666666666666666,6.0
2017-09-24,3779.54,3789.99,3622.76,3660.02,661.63639,1293.300048828125,92.16999816894533,9.59000015258789,0.38461538461538464,13.0
2017-09-25,3660.02,3979.87,3653.69,3920.75,727.994713,1306.800048828125,92.6500015258789,10.210000038146973,0.4827586206896552,29.0
2017-09-26,3928.0,3976.99,3850.05,3882.35,526.727987,1297.0,92.97000122070312,10.170000076293944,0.40476190476190477,42.0
2017-09-27,3882.36,4249.94,3872.81,4193.0,628.170966,1283.4000244140625,93.36000061035156,9.869999885559082,0.3125,48.0
2017-09-28,4192.11,4300.0,4101.0,4174.5,849.785325,1285.5,93.08999633789062,9.550000190734863,0.48484848484848486,33.0
2017-09-29,4178.98,4263.86,3952.01,4174.69,1602.309565,1281.5,93.08000183105467,9.510000228881836,0.08333333333333333,36.0
2017-09-30,4175.0,4380.0,4138.1,4378.51,720.353183,1281.5,93.08000183105467,9.510000228881836,0.08695652173913043,23.0
2017-10-01,4378.49,4406.52,4240.04,4378.48,726.963685,1281.5,93.08000183105467,9.510000228881836,0.35,20.0
2017-10-02,4400.0,4561.63,4360.0,4380.0,655.756974,1272.699951171875,93.55999755859376,9.449999809265137,0.40425531914893614,47.0
2017-10-03,4380.0,4467.33,4180.8,4310.0,1082.323563,1271.5,93.56999969482422,9.510000228881836,0.4444444444444444,45.0
2017-10-04,4314.9,4373.0,4142.0,4208.59,868.465101,1273.699951171875,93.45999908447266,9.630000114440918,-0.02127659574468085,47.0
2017-10-05,4208.59,4355.0,4110.0,4292.43,779.138638,1269.9000244140625,93.95999908447266,9.1899995803833,0.225,40.0
2017-10-06,4318.99,4417.0,4292.0,4369.0,506.529176,1271.5999755859375,93.8000030517578,9.649999618530272,0.42857142857142855,49.0
2017-10-07,4369.0,4479.5,4312.56,4423.0,297.5975,1271.5999755859375,93.8000030517578,9.649999618530272,0.28,25.0
2017-10-08,4425.0,4658.0,4425.0,4640.0,518.462004,1271.5999755859375,93.8000030517578,9.649999618530272,0.5,26.0
2017-10-09,4640.0,4889.98,4550.0,4786.95,646.463145,1281.800048828125,93.73999786376952,10.329999923706056,0.391304347826087,46.0
2017-10-10,4786.95,4960.0,4680.59,4783.06,1043.221773,1290.5999755859375,93.29000091552734,10.079999923706056,0.3448275862068966,58.0
2017-10-11,4783.06,4881.61,4710.0,4821.43,753.429396,1285.800048828125,92.95999908447266,9.850000381469728,0.5,52.0
2017-10-12,4821.43,5439.99,4810.16,5430.0,1276.701482,1293.300048828125,93.12000274658205,9.90999984741211,0.391304347826087,69.0
2017-10-13,5439.99,5846.17,5379.84,5649.98,1879.82762,1301.5,93.08999633789062,9.609999656677246,0.42,50.0
2017-10-14,5650.0,5900.0,5580.01,5869.99,970.759046,1301.5,93.08999633789062,9.609999656677246,0.3548387096774194,31.0
2017-10-15,5855.03,5922.3,5400.01,5709.99,1343.523375,1301.5,93.08999633789062,9.609999656677246,0.6,25.0
2017-10-16,5710.0,5788.91,5585.19,5760.02,1528.996462,1299.9000244140625,93.27999877929688,9.90999984741211,0.46,50.0
