tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_030,model_lstm_024,model_lstm_010,model_lstm_002,model_lstm_032,model_lstm_006,model_lstm_015,model_lstm_028,model_lstm_050,model_lstm_044,model_lstm_007,model_lstm_043,model_lstm_049,model_lstm_004,model_lstm_023,model_lstm_019,model_lstm_046,model_lstm_031,model_lstm_027,model_lstm_022,model_lstm_029,model_lstm_016,model_lstm_035,model_lstm_020,model_lstm_037,model_lstm_008,model_lstm_011,model_lstm_018,model_lstm_045,model_lstm_013,model_lstm_041,model_lstm_012,model_lstm_026,model_lstm_048,model_lstm_033,model_lstm_034,model_lstm_040,model_lstm_003,model_lstm_047,model_lstm_014,model_lstm_017,model_lstm_009,model_lstm_005,model_lstm_039,model_lstm_036,model_lstm_038,model_lstm_025,model_lstm_021,model_lstm_001,model_lstm_042
2025-03-09,0.0,-4.140387080009904,4.112109870918619,-2.68453567037924,0.388513,0.35990238,0.37090045,0.3061232,0.3455811,0.38000193,0.40507331,0.3481863,0.35477528,0.3597121,0.3742059,0.3373346,0.2950021,0.30431387,0.30651245,0.29743788,0.26236838,0.32311618,0.3788915,0.27236396,0.34159276,0.3365402,0.3383988,0.31584167,0.34456673,0.30210292,0.28794664,0.34741265,0.32267427,0.27694905,0.25948843,0.32954666,0.23845336,0.28731623,0.3149204,0.27918556,0.2449422,0.22818418,0.34215245,0.31078285,0.21473677,0.22231758,0.2716191,0.29867816,0.2426397,0.33066937,0.30284753,0.25409716,0.23354214,0.2432647
2025-03-10,1.0,-2.5643623631515733,6.193260611284761,5.37139060247328,0.53135234,0.524281,0.44749907,0.48438817,0.48852628,0.51833665,0.5574839,0.45577404,0.50703216,0.48406252,0.49035266,0.5295997,0.43261585,0.393216,0.47916135,0.46743363,0.37539247,0.44904992,0.5017794,0.46395054,0.46614686,0.5134715,0.52401996,0.4248669,0.48295712,0.45356718,0.40608847,0.5222225,0.46472657,0.4546244,0.433275,0.51573426,0.3614237,0.45216653,0.47444388,0.4287837,0.41057664,0.36023784,0.4901452,0.45935416,0.31542557,0.35110015,0.38538617,0.4676153,0.41974252,0.46407264,0.4626747,0.41675043,0.36816162,0.34885687
2025-03-11,1.0,-2.843937415698369,1.919008851208709,0.8968502033038599,0.5644882,0.55816025,0.52568316,0.5751563,0.5806872,0.6148316,0.6041984,0.5436341,0.5394271,0.5357621,0.52764666,0.62933826,0.5264479,0.51590526,0.5435183,0.5418632,0.46371853,0.43146667,0.50417084,0.4573631,0.48105028,0.49689305,0.5205166,0.46765372,0.565994,0.4889679,0.52942175,0.53952473,0.48553276,0.57216394,0.4788146,0.5841581,0.4118858,0.51208913,0.52783024,0.51388514,0.5007573,0.45265964,0.508269,0.45729586,0.35574716,0.46784967,0.4650026,0.43525466,0.44363397,0.4669644,0.49524486,0.42987967,0.43100426,0.3907232
2025-03-12,0.0,-4.572633200580999,0.7811298674943793,-3.11239175565561,0.4768592,0.5029124,0.5017405,0.4848139,0.4367718,0.46676785,0.5294016,0.48898306,0.4817334,0.46512508,0.47096202,0.46880838,0.46262443,0.392502,0.46613383,0.46671706,0.3738345,0.41277528,0.4482752,0.31413376,0.44575688,0.39924413,0.4152825,0.41497567,0.41542748,0.42591512,0.43127882,0.4529579,0.37067178,0.45919856,0.32695842,0.42455107,0.32560578,0.3587848,0.4250788,0.38143083,0.39689878,0.4244441,0.4472108,0.36358485,0.29876032,0.37971708,0.39524063,0.3301001,0.33554024,0.3799248,0.40475515,0.336959,0.33383048,0.36772525
2025-03-13,1.0,-0.3667410129070976,5.041076475436591,3.47392620472014,0.47757387,0.49230978,0.51472855,0.469571,0.4629726,0.46809772,0.47256622,0.46334565,0.4452141,0.4645943,0.45779294,0.4301193,0.43509063,0.37705866,0.44602567,0.41854024,0.3846348,0.42406192,0.44592094,0.32360697,0.46272856,0.3838722,0.41892743,0.40800643,0.37383112,0.4071583,0.42980984,0.43624339,0.40126136,0.41637522,0.31185934,0.36493382,0.31963304,0.37773645,0.39852414,0.32513893,0.37739596,0.36973828,0.42566156,0.36457688,0.29560423,0.36863974,0.40882882,0.36052364,0.31778693,0.41238135,0.36190575,0.3101912,0.32010156,0.35754636
2025-03-14,1.0,-0.4357970921293623,0.8218736371313496,0.4220972745167,0.49099922,0.47687575,0.5184031,0.47226393,0.46152854,0.48766583,0.4671437,0.46948048,0.44894272,0.46289974,0.43959856,0.4242654,0.4420042,0.38127032,0.44450134,0.39004323,0.38004768,0.43760848,0.4594074,0.32750723,0.45279214,0.394191,0.41618326,0.4256749,0.37894168,0.41389146,0.4116128,0.41975906,0.4086558,0.40773922,0.30738902,0.3498003,0.30877855,0.37671912,0.38668257,0.31587568,0.3694696,0.32232603,0.43480033,0.36220866,0.30366775,0.34813207,0.40399677,0.3694706,0.2922343,0.43231863,0.34194922,0.31111065,0.32580465,0.35061556
2025-03-15,0.0,-2.834877473419619,0.9189498966785624,-2.11364721204962,0.5239407,0.5158207,0.5432705,0.5031771,0.47832316,0.5127107,0.5155008,0.5026153,0.47355905,0.4913307,0.46163368,0.4382358,0.46875086,0.41473186,0.47075388,0.40562606,0.39847764,0.4709651,0.49585727,0.35051617,0.48966506,0.4073342,0.44946566,0.4603211,0.4124164,0.43950436,0.4168796,0.44379765,0.44946,0.44451514,0.33650255,0.36437082,0.33285207,0.3748632,0.3931183,0.33500546,0.38727832,0.32761246,0.46268904,0.3834877,0.33239183,0.3700064,0.43255538,0.40591714,0.31281477,0.47098097,0.3600104,0.33875397,0.35018542,0.38477877
2025-03-16,1.0,-0.1436461730825812,2.608505351854652,1.72349170117196,0.45105615,0.4736442,0.42892343,0.38158488,0.44411555,0.4763497,0.46938792,0.38782665,0.40138575,0.4299156,0.46565267,0.41357186,0.33791453,0.40228054,0.38147292,0.37234157,0.30820557,0.3889653,0.44819018,0.35166013,0.42323476,0.3890608,0.4207852,0.36580443,0.4477104,0.34469667,0.36838317,0.43021265,0.4069458,0.35392517,0.35440803,0.38826895,0.28734893,0.39257035,0.396905,0.3461637,0.28682545,0.27005973,0.4104035,0.38229385,0.25055933,0.30491906,0.3460528,0.38751337,0.33871463,0.40795028,0.3420858,0.3038789,0.29847676,0.29863355
2025-03-17,0.0,-3.482595304093741,0.0139378404678702,-1.55348697269551,0.5372538,0.5661308,0.46496612,0.4876813,0.52729505,0.5473984,0.5793285,0.45472616,0.5044126,0.5107353,0.5434634,0.5378532,0.43785587,0.44569275,0.48560068,0.48772678,0.36850473,0.4758244,0.53263265,0.48154917,0.5057677,0.50841576,0.5493483,0.43245366,0.5544298,0.44376406,0.44244716,0.5468482,0.49506962,0.47245848,0.46970245,0.53411895,0.3704012,0.47917828,0.49106017,0.43508384,0.39392245,0.36712027,0.5065452,0.47684675,0.31087765,0.3901237,0.4116271,0.48250687,0.46948826,0.48208645,0.4717808,0.43145615,0.38961816,0.368767
2025-03-18,1.0,-0.2031560367638926,5.050679190450183,4.87344175789443,0.5081623,0.5501495,0.50648093,0.52790695,0.51233447,0.5455059,0.5625221,0.5010385,0.5014911,0.5137213,0.5113579,0.56873137,0.4881982,0.41354817,0.5059066,0.49748358,0.4014235,0.43320525,0.4895055,0.41131127,0.4790573,0.42551476,0.4991422,0.43322372,0.50339115,0.44754386,0.4718863,0.5139918,0.44679755,0.51643497,0.41843253,0.5054539,0.36613,0.4244082,0.46316513,0.41348,0.45303774,0.41970146,0.46523792,0.4116718,0.3124629,0.43954712,0.4231328,0.4121109,0.40601707,0.4329472,0.470477,0.40548652,0.39529696,0.38930085
