tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_041,model_lstm_022,model_lstm_004,model_lstm_029,model_lstm_007,model_lstm_017,model_lstm_050,model_lstm_008,model_lstm_039,model_lstm_013,model_lstm_042,model_lstm_032,model_lstm_049,model_lstm_044,model_lstm_037,model_lstm_030,model_lstm_026,model_lstm_040,model_lstm_001,model_lstm_048,model_lstm_018,model_lstm_012,model_lstm_011,model_lstm_043,model_lstm_023,model_lstm_016,model_lstm_020,model_lstm_010,model_lstm_003,model_lstm_002,model_lstm_034,model_lstm_036,model_lstm_009,model_lstm_035,model_lstm_033,model_lstm_028,model_lstm_024,model_lstm_031,model_lstm_019,model_lstm_045,model_lstm_005,model_lstm_015,model_lstm_025,model_lstm_006,model_lstm_021,model_lstm_027,model_lstm_038,model_lstm_014,model_lstm_047,model_lstm_046
2025-06-17,1.0,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.5188725,0.54783785,0.5595288,0.5125209,0.56711847,0.5571955,0.5417201,0.528658,0.5524707,0.5470666,0.46269417,0.55559945,0.5129664,0.49583077,0.53275716,0.5310168,0.5423716,0.5323032,0.52779216,0.5596638,0.54026055,0.5197466,0.5540388,0.5143048,0.50375074,0.48315647,0.57790923,0.55290717,0.535,0.5751509,0.5500277,0.5504743,0.5396544,0.5411633,0.5261782,0.52121085,0.5285771,0.50090957,0.50840443,0.51975125,0.5391068,0.4860584,0.5307593,0.5475087,0.51530683,0.5360942,0.54945886,0.48382476,0.53025126,0.46109048
2025-06-18,0.0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.4135088,0.4343149,0.38511503,0.42120418,0.41389206,0.46848723,0.38632426,0.43139568,0.4313173,0.39644262,0.37299472,0.40047294,0.40936005,0.43627462,0.44724974,0.40890127,0.42303964,0.40373978,0.45367458,0.41925213,0.42594427,0.41144547,0.40595445,0.43037888,0.4298772,0.39375663,0.42953184,0.4591127,0.43810746,0.39409322,0.43061176,0.43900484,0.44965369,0.41982844,0.45403436,0.44950595,0.44041947,0.40965778,0.4389655,0.43022332,0.44158006,0.45222756,0.44422498,0.39715925,0.44794253,0.437447,0.42898571,0.38935584,0.44013995,0.42028636
2025-06-19,0.0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.47142127,0.460934,0.4361241,0.47335067,0.46862036,0.47621736,0.46103182,0.47999397,0.4687644,0.446653,0.47635517,0.45402798,0.44776344,0.46455422,0.5042365,0.4665215,0.4501264,0.45026544,0.5041858,0.4839661,0.4636125,0.46494117,0.43522325,0.4690824,0.48175174,0.44249707,0.47344476,0.4939922,0.4670902,0.503188,0.4725561,0.483636,0.48108804,0.48516592,0.5107058,0.48581254,0.4718705,0.4935872,0.46395147,0.47773215,0.48012924,0.47414207,0.47046387,0.4728036,0.4767454,0.48969847,0.4608951,0.4212088,0.47944096,0.4433375
2025-06-20,0.0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.4793907,0.500875,0.45630127,0.50458056,0.48773676,0.48058704,0.48472124,0.4883205,0.48231345,0.46654448,0.4138017,0.48041034,0.47164065,0.4814574,0.51018375,0.50563985,0.4718016,0.47321656,0.4928136,0.50744975,0.45612442,0.49095178,0.49895257,0.4732656,0.47561347,0.49287683,0.49726442,0.490804,0.46060595,0.5295281,0.46737826,0.49491873,0.48307562,0.47483975,0.5332364,0.47216803,0.48386273,0.50684345,0.45525634,0.51293284,0.4837432,0.49438068,0.47482732,0.4549835,0.48075855,0.4666979,0.44700783,0.43659967,0.46310663,0.42621472
2025-06-21,0.0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.5628979,0.6275593,0.6250047,0.60575706,0.6564186,0.61949307,0.57718956,0.6120939,0.6305306,0.61047626,0.5740749,0.59449387,0.5982626,0.5977799,0.5931609,0.6111635,0.5849263,0.60932416,0.5682289,0.6028942,0.59875464,0.5968621,0.6178322,0.55045444,0.57902306,0.64641106,0.6058305,0.6410443,0.6241874,0.6374172,0.5869119,0.62052363,0.6092406,0.578718,0.61033463,0.5606439,0.6249258,0.5801506,0.57749915,0.60007656,0.6163586,0.60235447,0.59113026,0.60442185,0.58531874,0.5711536,0.6040494,0.5507723,0.59280306,0.55618125
2025-06-22,1.0,-1.3466739094160756,4.937611915541193,4.23728593887924,0.4591857,0.5013996,0.5177066,0.48566377,0.48245594,0.47475943,0.44725832,0.4771081,0.47801888,0.47439677,0.57723325,0.48448703,0.5088491,0.48168546,0.45851165,0.43883094,0.47337648,0.4800184,0.45860448,0.46503982,0.47650838,0.5057659,0.4974791,0.48248768,0.5129401,0.46801817,0.4848237,0.4139988,0.44048533,0.4326402,0.52423036,0.5015899,0.5096726,0.45533937,0.47856343,0.4373159,0.48642007,0.44443983,0.46566755,0.4660604,0.49366003,0.45917925,0.50976616,0.43988663,0.5044299,0.48644987,0.40028125,0.46278003,0.47200805,0.48980328
2025-06-23,1.0,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.50590765,0.4659087,0.5752254,0.522147,0.5531873,0.52291137,0.49162653,0.48424104,0.504724,0.5451824,0.57820946,0.4925858,0.5160637,0.4805406,0.49362075,0.4998439,0.49219054,0.5036136,0.49227014,0.47776186,0.54703456,0.5039308,0.5586434,0.45920068,0.5254607,0.52981967,0.515984,0.5397203,0.5826714,0.48452705,0.5839925,0.5266049,0.5712599,0.526997,0.48772237,0.47800225,0.525491,0.42631072,0.5377503,0.5327361,0.4694375,0.53844255,0.53287774,0.6012073,0.54486156,0.5356666,0.56596005,0.4918456,0.5589084,0.5573687
2025-06-24,1.0,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.46759507,0.4311321,0.46562785,0.47911915,0.42071652,0.5164131,0.42722073,0.45721072,0.4484152,0.4246903,0.37520385,0.44240147,0.48985618,0.4166079,0.46319798,0.43323827,0.49394462,0.40510082,0.48368272,0.40887165,0.41435724,0.4082151,0.48165858,0.4368171,0.40703928,0.4084529,0.48946735,0.4587878,0.4316482,0.43073314,0.4753219,0.48387912,0.46597993,0.4750187,0.4705747,0.3899032,0.44669592,0.39308843,0.44217005,0.4372974,0.4061373,0.4597698,0.44657683,0.4893564,0.46768054,0.39442956,0.48072714,0.4374418,0.46488973,0.38894293
2025-06-25,0.0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.37317207,0.39140797,0.39238298,0.41206563,0.3715728,0.44180965,0.37935936,0.4174058,0.38837895,0.38856104,0.34742492,0.38998374,0.37627023,0.38383093,0.38495356,0.38211754,0.40026814,0.37688777,0.4149064,0.3763576,0.39730757,0.32981908,0.38515955,0.38097385,0.39567167,0.38472033,0.43943027,0.42291027,0.41154268,0.40249935,0.4069448,0.42421588,0.43631908,0.40065262,0.39895773,0.31661108,0.391087,0.3318118,0.40329653,0.398773,0.37129915,0.39360482,0.38227203,0.38082165,0.43387428,0.363962,0.3927354,0.3833168,0.3917693,0.3465229
2025-06-26,1.0,-0.553484233859804,0.734371837348212,0.09395562683026999,0.4936121,0.55882233,0.53780067,0.55020255,0.53577536,0.5343759,0.5324407,0.55848294,0.52024937,0.5312708,0.56623244,0.5236735,0.50859284,0.50560063,0.5303454,0.5521009,0.5417148,0.532586,0.52376753,0.5483665,0.5441102,0.5136809,0.5442196,0.51302665,0.5159354,0.5460341,0.52599466,0.53400266,0.5197548,0.5460535,0.50578946,0.5193727,0.5422708,0.5093517,0.54761094,0.559492,0.5165113,0.53950274,0.49172094,0.51482236,0.5332133,0.55837244,0.49669087,0.4992848,0.5141249,0.5270697,0.5096114,0.52330977,0.5028838,0.44026858
