tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_xgb_006,model_xgb_009,model_xgb_034,model_xgb_018,model_xgb_023,model_xgb_021,model_xgb_024,model_xgb_019,model_xgb_039,model_xgb_015,model_xgb_014,model_xgb_025,model_xgb_005,model_xgb_031,model_xgb_012,model_xgb_033,model_xgb_032,model_xgb_047,model_xgb_045,model_xgb_037,model_xgb_007,model_xgb_050,model_xgb_028,model_xgb_030,model_xgb_027,model_xgb_008,model_xgb_040,model_xgb_044,model_xgb_046,model_xgb_041,model_xgb_036,model_xgb_042,model_xgb_001,model_xgb_002,model_xgb_003,model_xgb_010,model_xgb_026,model_xgb_016,model_xgb_043,model_xgb_013,model_xgb_017,model_xgb_029,model_xgb_020,model_xgb_049,model_xgb_035,model_xgb_022,model_xgb_038,model_xgb_011,model_xgb_048,model_xgb_004
2025-06-17,1,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.5051152,0.5485999,0.51199716,0.506555,0.5000225,0.50018376,0.5095125,0.52755994,0.5335916,0.5190573,0.5190355,0.5197388,0.5127948,0.5265649,0.49768895,0.50847405,0.50372076,0.50479573,0.5044947,0.5199352,0.52624017,0.50788873,0.52875483,0.5062241,0.4978036,0.4925305,0.51652557,0.50147957,0.5213517,0.50698453,0.499551,0.50407124,0.50106704,0.49556038,0.5033828,0.5023553,0.5002559,0.49745032,0.51735723,0.5047272,0.5048052,0.50797397,0.5108314,0.5300462,0.48517662,0.49737993,0.5026653,0.49637368,0.50325567,0.5013954
2025-06-18,0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.51971185,0.50091,0.5055491,0.5065113,0.4912163,0.4991883,0.49847633,0.4986165,0.5078199,0.48800945,0.50256515,0.50987774,0.50823414,0.49016035,0.50233537,0.49911708,0.5117025,0.50922513,0.49391913,0.51391494,0.4952113,0.5036819,0.5070936,0.49334887,0.49592927,0.5025686,0.49403614,0.5041034,0.49036112,0.5066883,0.5016629,0.504437,0.50359344,0.50009817,0.4957295,0.498827,0.49476093,0.49907914,0.5008258,0.5000935,0.49977064,0.505347,0.49856517,0.49841917,0.5072717,0.4987634,0.50449544,0.4967009,0.50078017,0.49540865
2025-06-19,0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.48458448,0.50020814,0.4927953,0.49669868,0.4923427,0.4991883,0.4988461,0.49564,0.4976881,0.50902796,0.50559974,0.5120709,0.50545084,0.49410614,0.50233537,0.508789,0.49314606,0.504589,0.5006332,0.5033889,0.5018806,0.49385515,0.48392457,0.5024966,0.50370866,0.5017676,0.4966234,0.4989014,0.49897608,0.4913325,0.49679822,0.50014186,0.50045186,0.49474293,0.49581337,0.4970872,0.49902415,0.50570685,0.50323534,0.5000935,0.49977064,0.5056688,0.5039081,0.49129957,0.49541718,0.50101894,0.49599853,0.50464135,0.50325567,0.50085807
2025-06-20,0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.5143655,0.50337446,0.5010309,0.48840797,0.5035491,0.50018376,0.49197,0.50494945,0.47879183,0.48746854,0.5087604,0.501914,0.49617827,0.5132224,0.5001364,0.49644524,0.4891717,0.49148104,0.5010742,0.5087169,0.5088873,0.49944714,0.47134236,0.51014346,0.50248843,0.5013246,0.48332912,0.49825257,0.47717595,0.49143088,0.50229496,0.4988779,0.49906036,0.5047623,0.4941795,0.5022543,0.50330836,0.4862552,0.48571068,0.5000935,0.49977064,0.5020589,0.49374878,0.48821127,0.5006156,0.4987634,0.49988303,0.5001269,0.49389762,0.49814546
2025-06-21,0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.5075169,0.50810295,0.50014156,0.5046228,0.5000225,0.50018376,0.5317066,0.5295095,0.49826825,0.51567245,0.51221895,0.5221494,0.4985783,0.4863061,0.50233537,0.50443643,0.5137081,0.50152516,0.5010742,0.50808895,0.5123487,0.50089127,0.5126422,0.49831814,0.49829257,0.49453375,0.506647,0.50113857,0.51695806,0.5012476,0.4958384,0.49961883,0.49906036,0.5031966,0.51815087,0.5008157,0.50237066,0.4951707,0.5110316,0.5046655,0.49977064,0.49544236,0.5067496,0.52978367,0.50040376,0.5015672,0.5001964,0.5002081,0.49371973,0.49773178
2025-06-22,1,-1.3466739094160756,4.937611915541193,4.23728593887924,0.49145392,0.4545498,0.50688815,0.48676696,0.49511927,0.4991883,0.4673313,0.4922758,0.48273256,0.46282527,0.47422844,0.47747156,0.49472898,0.5130485,0.5001364,0.49558952,0.49879158,0.4946806,0.496901,0.49854454,0.46624866,0.5009385,0.47780606,0.50046104,0.4930167,0.4925629,0.50032866,0.4944163,0.46802187,0.47331414,0.50061655,0.4953639,0.49906036,0.50009817,0.5021767,0.5008157,0.5002559,0.48998535,0.4827728,0.5000935,0.49556845,0.4957594,0.49399504,0.48373884,0.50412154,0.5015672,0.49668956,0.5002081,0.5014608,0.5041329
2025-06-23,1,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.49645594,0.48221797,0.4901217,0.48516917,0.498975,0.50698876,0.5194261,0.5134744,0.49338448,0.48615897,0.48528963,0.5035745,0.49481624,0.48669642,0.50191283,0.5010782,0.49728882,0.49229538,0.50084335,0.51470715,0.51111066,0.48424718,0.48890212,0.49556628,0.49897298,0.5019284,0.49045178,0.49825257,0.5041385,0.49525154,0.49693185,0.49414957,0.49906036,0.50009817,0.496759,0.5008157,0.5002559,0.5018709,0.5018873,0.5000935,0.49977064,0.50159234,0.4970313,0.4966012,0.5017792,0.4987634,0.50246775,0.4967009,0.5019061,0.49540865
2025-06-24,1,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.50651485,0.49986163,0.5079832,0.50354314,0.5013916,0.50018376,0.5065029,0.49081296,0.509405,0.5151986,0.47857073,0.5128507,0.5014804,0.481446,0.49768895,0.50198716,0.49369565,0.50101364,0.5012139,0.50078154,0.51638263,0.49698582,0.4925398,0.51548505,0.49567163,0.49523187,0.4991182,0.4989014,0.48584953,0.50858414,0.500963,0.50407124,0.50045186,0.49556038,0.4970452,0.5008157,0.5039291,0.51015544,0.5146604,0.5000935,0.49977064,0.49751273,0.49785,0.51009357,0.4977426,0.4987634,0.5026653,0.49714842,0.49499306,0.50085807
2025-06-25,0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.50864756,0.49986073,0.50433016,0.49842167,0.50287974,0.4991883,0.49634853,0.5080084,0.49911958,0.48666057,0.5089396,0.51568437,0.50971484,0.5189667,0.50233537,0.50247794,0.4952879,0.50951993,0.5044947,0.50381184,0.51537734,0.5037756,0.51588666,0.5032265,0.5062446,0.5109496,0.5192998,0.5041034,0.51703477,0.5114709,0.5054304,0.5036772,0.50600123,0.50009817,0.501894,0.50065005,0.50237066,0.5034916,0.52414954,0.5047272,0.5061344,0.50797397,0.50388694,0.52059746,0.49649614,0.4987634,0.49502942,0.5031962,0.50325567,0.49637434
2025-06-26,1,-0.553484233859804,0.734371837348212,0.09395562683026999,0.5228476,0.50917107,0.51790166,0.52574706,0.49929473,0.50348794,0.4733612,0.53758603,0.51896816,0.51340634,0.4898703,0.534184,0.5066029,0.5098388,0.5033215,0.5205197,0.5114433,0.50192404,0.5018148,0.51789504,0.48354056,0.49246377,0.52259713,0.5020627,0.50105244,0.49360827,0.50892866,0.5041034,0.55896914,0.5121237,0.5053475,0.49791908,0.50359344,0.49394274,0.5051527,0.4970872,0.4948235,0.5070151,0.5110014,0.49782884,0.49977064,0.5102238,0.5023822,0.48532295,0.5064007,0.4987634,0.49951845,0.5002081,0.50078017,0.49746075
