tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_lstm_014,model_lstm_001,model_lstm_011,model_lstm_044,model_lstm_038,model_lstm_042,model_lstm_012,model_lstm_013,model_lstm_024,model_lstm_026,model_lstm_022,model_lstm_027,model_lstm_003,model_lstm_018,model_lstm_035,model_lstm_004,model_lstm_032,model_lstm_005,model_lstm_020,model_lstm_046,model_lstm_040,model_lstm_017,model_lstm_021,model_lstm_034,model_lstm_009,model_lstm_015,model_lstm_033,model_lstm_045,model_lstm_048,model_lstm_010,model_lstm_019,model_lstm_039,model_lstm_006,model_lstm_025,model_lstm_031,model_lstm_030,model_lstm_049,model_lstm_007,model_lstm_037,model_lstm_029,model_lstm_023,model_lstm_036,model_lstm_008,model_lstm_047,model_lstm_002,model_lstm_016,model_lstm_028,model_lstm_041,model_lstm_043,model_lstm_050
2024-11-29,0.0,-1.413586745548115,0.0040528626682724,-1.08529554161065,0.5810713,0.46350157,0.49425524,0.6013718,0.4969014,0.49858418,0.49466056,0.517425,0.56405175,0.46756834,0.4786241,0.4967319,0.51728374,0.51874304,0.5211012,0.5032047,0.4570781,0.47023687,0.43424007,0.5156724,0.5229262,0.5061955,0.51273006,0.4978426,0.507976,0.48521093,0.4630437,0.47973084,0.50172764,0.500519,0.5733624,0.5098206,0.5115829,0.50399494,0.4770294,0.5081928,0.49987283,0.4698136,0.52993953,0.44819334,0.5010546,0.52550834,0.48350263,0.5118608,0.5183643,0.5426175,0.5796489,0.53500426,0.49308866,0.46709493
2024-11-30,1.0,-0.7434735428483485,1.4703525469520595,0.8029148706736899,0.54129076,0.52670956,0.5199958,0.4174747,0.5042342,0.5481152,0.51907647,0.5299364,0.5119784,0.5094743,0.47471678,0.53483325,0.5249386,0.5645322,0.5180199,0.5223195,0.4827886,0.49186754,0.54282796,0.55540085,0.5272199,0.5041043,0.52618635,0.5256019,0.5062008,0.5234354,0.49611452,0.49339297,0.6491051,0.51132363,0.5524302,0.45739532,0.5318461,0.4999693,0.50921935,0.54533195,0.5225123,0.49605632,0.5426372,0.4879039,0.5283881,0.5162177,0.5270174,0.51503474,0.5305821,0.47415984,0.5474269,0.5355757,0.5353227,0.48750633
2024-12-01,0.0,-2.913012505898392,0.9674899512411724,-1.3931627244584,0.5019841,0.40624192,0.46800533,0.40230358,0.4694423,0.4587322,0.42963862,0.47874466,0.49321508,0.42128524,0.516846,0.44149292,0.42705512,0.4399044,0.43523508,0.46092257,0.42972118,0.48156777,0.4384822,0.43512112,0.46114117,0.44522277,0.48539948,0.48034793,0.47429222,0.4906949,0.42954585,0.4424807,0.4468292,0.47745144,0.47966984,0.4688459,0.49146858,0.40807912,0.43187585,0.48534203,0.47239026,0.43544716,0.44479078,0.44842407,0.46893707,0.44345775,0.44450566,0.4476012,0.43058497,0.45541134,0.47644398,0.465833,0.4608466,0.45331526
2024-12-02,1.0,-2.388947367511532,0.4839034572169101,0.009463180488125696,0.48603442,0.4408955,0.49528283,0.41035584,0.48414668,0.4764431,0.47260356,0.5072435,0.4737926,0.48688507,0.52888656,0.48221126,0.44624528,0.45627776,0.46807063,0.43323928,0.4743971,0.51849496,0.4517993,0.4641329,0.46531606,0.48183557,0.49893138,0.48906538,0.5518874,0.5554888,0.499399,0.47421584,0.54756683,0.5160027,0.51432705,0.53587574,0.5385723,0.48308083,0.46986073,0.5171216,0.5403959,0.4968037,0.50271374,0.5180071,0.50093406,0.49176386,0.5324143,0.51578504,0.47824365,0.5051262,0.50063485,0.50816095,0.48544478,0.5126465
2024-12-03,1.0,-1.3252414418642673,3.2338614868302216,2.8161417666881396,0.47764772,0.5053538,0.5189348,0.5422579,0.5411825,0.50338817,0.49379557,0.5436796,0.47607625,0.5400245,0.48472476,0.5346828,0.48626962,0.5252379,0.50116175,0.4843889,0.49089867,0.51942074,0.5326098,0.56218255,0.542295,0.5128703,0.5335186,0.47928306,0.5495518,0.5673255,0.5363167,0.45087922,0.59642833,0.51511115,0.52636266,0.51384586,0.5621099,0.56413335,0.5415831,0.5794049,0.56562227,0.5572702,0.5852261,0.54792327,0.5285729,0.55777115,0.5406068,0.58538043,0.5280545,0.5763465,0.5606322,0.51933813,0.53248256,0.5327027
2024-12-04,0.0,-8.55928022272887,5.429404226800561,-1.67923470412215,0.3727817,0.4153504,0.42469475,0.41336754,0.4541205,0.41444612,0.4036767,0.43465993,0.3664082,0.4333737,0.44234073,0.39518982,0.4226292,0.36380112,0.42475134,0.41882977,0.4261381,0.3988717,0.38963902,0.42850533,0.42816535,0.39394063,0.4389451,0.4398656,0.4064071,0.42004097,0.391512,0.38487762,0.47352135,0.4483032,0.42087194,0.40632412,0.44405428,0.45372415,0.39854258,0.42883432,0.43215182,0.46581516,0.41496465,0.37531483,0.43435645,0.42307785,0.3991749,0.43953678,0.41586852,0.4717473,0.43312395,0.44715056,0.42668608,0.44053715
2024-12-05,1.0,-0.9992549222333156,4.983172260949494,2.84249160874968,0.5204323,0.51913726,0.518986,0.48914325,0.52017057,0.52623224,0.5363116,0.5491803,0.49726713,0.50764173,0.57594705,0.51667374,0.52428436,0.4747359,0.5548798,0.5192612,0.5199106,0.5042334,0.47037998,0.5016781,0.5555856,0.49450955,0.53160596,0.5108602,0.5495992,0.52092564,0.5456645,0.50122356,0.5672171,0.52918714,0.5728161,0.5104588,0.5388103,0.5284505,0.51375246,0.520014,0.5280238,0.5021843,0.4923701,0.5116304,0.50746244,0.5347866,0.4976152,0.54667693,0.5278726,0.56315297,0.583268,0.55499566,0.49290556,0.50943106
2024-12-06,1.0,-0.9032372232332472,0.6977148198556776,0.09134510578209,0.70277244,0.6197049,0.53694224,0.7523839,0.53854793,0.58830607,0.6091537,0.59304935,0.66250795,0.5958674,0.62011135,0.56206816,0.59510195,0.70302486,0.60945654,0.5763067,0.6016555,0.5362353,0.48861545,0.5787464,0.63293034,0.55870855,0.5749461,0.5595603,0.59787273,0.57748073,0.5524424,0.60499805,0.62143195,0.5404569,0.69138736,0.59756076,0.5788834,0.5837713,0.56584364,0.57555103,0.5690824,0.5462147,0.5834789,0.5746501,0.5632587,0.60268897,0.6109321,0.58219635,0.6257708,0.62776333,0.6249083,0.6381313,0.552269,0.5867737
2024-12-07,1.0,-1.1832389889383337,1.5101066610290954,1.27163050682054,0.4926351,0.4253187,0.41710794,0.45116293,0.4626864,0.43891498,0.45752013,0.47922486,0.5128733,0.46720055,0.45197496,0.42041865,0.4505099,0.45972124,0.4643153,0.48780915,0.41558984,0.4113078,0.40118235,0.5010207,0.421843,0.4503174,0.43097287,0.4733502,0.43759516,0.3934455,0.3832259,0.38444576,0.48811677,0.473637,0.5058715,0.39478794,0.46534526,0.5076738,0.44450888,0.4305742,0.48086283,0.4588339,0.46517554,0.380782,0.4479135,0.4580948,0.44970238,0.43718892,0.46841082,0.39733943,0.5004657,0.47677362,0.4552502,0.4688457
2024-12-08,0.0,-7.131519193500494,0.1051177427265866,-3.86478475525823,0.52721554,0.44038063,0.48648486,0.41718876,0.4705345,0.49310526,0.43923903,0.49985734,0.5431713,0.45140088,0.49204814,0.47039106,0.46327534,0.4599056,0.48496813,0.48155648,0.43460354,0.48106238,0.5388821,0.48022056,0.4477881,0.45466015,0.4793372,0.4916715,0.49697506,0.49394602,0.50006324,0.4317984,0.5011173,0.48687556,0.51033175,0.49216548,0.4950265,0.41377142,0.45526335,0.45131037,0.49225724,0.44329885,0.4708752,0.45866036,0.45244125,0.46673232,0.45549488,0.43925765,0.44564065,0.44212148,0.48374116,0.47531563,0.46498978,0.47810978
