tanggal,target_asli,wasit_low,wasit_high,wasit_target,model_gru_030,model_gru_045,model_gru_042,model_gru_023,model_gru_047,model_gru_041,model_gru_013,model_gru_016,model_gru_019,model_gru_043,model_gru_020,model_gru_022,model_gru_014,model_gru_037,model_gru_049,model_gru_001,model_gru_006,model_gru_015,model_gru_033,model_gru_038,model_gru_031,model_gru_012,model_gru_044,model_gru_040,model_gru_017,model_gru_005,model_gru_048,model_gru_034,model_gru_024,model_gru_009,model_gru_026,model_gru_011,model_gru_002,model_gru_008,model_gru_050,model_gru_004,model_gru_029,model_gru_039,model_gru_028,model_gru_003,model_gru_025,model_gru_007,model_gru_036,model_gru_035,model_gru_010,model_gru_018,model_gru_032,model_gru_046,model_gru_021,model_gru_027
2025-06-17,1.0,-1.0105003924392646,0.9510715690611612,0.32048660451346,0.50162476,0.46956033,0.48816785,0.49122816,0.52435225,0.5346122,0.46135843,0.6009219,0.54726744,0.54618424,0.49679664,0.57280535,0.5308183,0.50342363,0.5744028,0.56648636,0.5680303,0.66291326,0.5519103,0.4722693,0.5262367,0.5228472,0.52638274,0.5117481,0.47635674,0.5136838,0.6627085,0.5547689,0.5784091,0.591914,0.5436292,0.57966304,0.59065825,0.63068944,0.5628481,0.38541016,0.5293747,0.5279522,0.66627896,0.59392935,0.46431303,0.694259,0.44933885,0.6101195,0.46847248,0.65627337,0.49441367,0.55612546,0.55405414,0.5829994
2025-06-18,0.0,-0.9170911057722232,0.3230550950515953,-0.21779540173212003,0.44988897,0.40189993,0.44268024,0.41203964,0.42255998,0.46436998,0.37144208,0.49188784,0.44703752,0.5050116,0.42969173,0.45707047,0.51125973,0.42437935,0.48854855,0.48112684,0.48331463,0.5048165,0.48454657,0.4118805,0.3889074,0.45380446,0.465599,0.44794583,0.38976923,0.4228401,0.51813155,0.48683545,0.45028645,0.4510242,0.45347348,0.440868,0.5159674,0.4861988,0.4671805,0.29468232,0.4003519,0.3965506,0.48522744,0.51639116,0.46914703,0.55225885,0.4039333,0.48912516,0.3599677,0.5713996,0.4316706,0.38615412,0.45844358,0.41834322
2025-06-19,0.0,-2.235406972213293,1.7672885109242638,-1.30856106109857,0.54706305,0.5617382,0.515327,0.5347319,0.5788154,0.6047589,0.4940167,0.6280113,0.6092037,0.5702673,0.5881607,0.5868419,0.5713031,0.52276164,0.5989924,0.58024323,0.5800202,0.62515277,0.6232293,0.61630696,0.5178151,0.67571056,0.56138515,0.5138306,0.52913845,0.6029286,0.6274702,0.66247976,0.5890261,0.59096426,0.605842,0.57891333,0.6135834,0.5792791,0.56126326,0.4888036,0.5959596,0.53064096,0.602833,0.60528433,0.5710969,0.61470336,0.47169825,0.47725457,0.50863063,0.6180139,0.5599744,0.5201014,0.5350381,0.53534156
2025-06-20,0.0,-2.4103641013186543,0.6606044084598361,-1.14692277493546,0.53891295,0.5476677,0.5353489,0.48887613,0.52212095,0.58695835,0.46164724,0.5408057,0.571892,0.5818254,0.5579135,0.5650669,0.5121293,0.48465016,0.5924653,0.54930645,0.54107547,0.62211174,0.55116683,0.45614898,0.52733356,0.6277593,0.5423843,0.52653545,0.4932688,0.5183856,0.53283435,0.5927286,0.54797417,0.5536596,0.51787615,0.5582522,0.5661287,0.56827396,0.5300765,0.5007794,0.56791043,0.47265026,0.5402142,0.5672343,0.52354556,0.60346836,0.43815815,0.639955,0.4649053,0.5805973,0.5131546,0.4683649,0.49566185,0.4973019
2025-06-21,0.0,-3.9142474936869007,1.2452596721930649,-1.13859602263607,0.54552245,0.5409275,0.6078389,0.55422693,0.576764,0.65231526,0.51730573,0.5105321,0.601354,0.62119156,0.59759355,0.58790356,0.536151,0.5397341,0.5665425,0.5959574,0.5517995,0.5727729,0.61362785,0.41713217,0.555271,0.674209,0.5727638,0.5564835,0.5280792,0.54855484,0.6078283,0.59653646,0.61632586,0.5759875,0.53642994,0.5784145,0.6725687,0.652022,0.5846043,0.46058747,0.57874125,0.52513236,0.59809774,0.63061565,0.5549602,0.60422575,0.5043311,0.5499157,0.50419736,0.56231385,0.5656222,0.5437262,0.5893664,0.6015811
2025-06-22,1.0,-1.3466739094160756,4.937611915541193,4.23728593887924,0.49132672,0.49448642,0.59505045,0.44149834,0.4513516,0.6054174,0.46478721,0.47376746,0.6010294,0.55101347,0.44732076,0.51117694,0.49509063,0.50481665,0.5094916,0.57928836,0.5130223,0.53238285,0.5038187,0.43895182,0.55631125,0.55191386,0.58670235,0.5576809,0.4691677,0.49173346,0.51046085,0.5254708,0.5232767,0.5429312,0.5008461,0.5016095,0.51974684,0.57423383,0.47846603,0.4044811,0.5033449,0.5087999,0.44947916,0.55832464,0.46415806,0.6188246,0.47855577,0.4936667,0.42699575,0.6139718,0.48141593,0.524773,0.5710744,0.5219391
2025-06-23,1.0,-0.6781543731945114,0.9035618085769545,0.70862171209309,0.52116734,0.5515571,0.642885,0.5206629,0.5833183,0.63794804,0.58184814,0.593243,0.6777627,0.5936573,0.5169786,0.58355385,0.5624088,0.6021043,0.58730394,0.64942455,0.5599585,0.60992336,0.53202766,0.54850906,0.577327,0.5918939,0.63182414,0.61005867,0.6028411,0.5822086,0.73048335,0.57661265,0.6204287,0.6337803,0.6038475,0.60855925,0.63778096,0.68846965,0.50819165,0.48881483,0.54113156,0.64098656,0.55459666,0.62813395,0.5090061,0.7062767,0.56194115,0.53016096,0.5005581,0.67002225,0.5298484,0.68623286,0.6796238,0.67788655
2025-06-24,1.0,-0.2595392115949321,1.9161414250041848,1.1784963544526401,0.48287645,0.44821888,0.46521056,0.47996822,0.46458614,0.5057731,0.46336806,0.52683675,0.5117788,0.54046696,0.4722421,0.52428454,0.47939846,0.49267802,0.4729711,0.4915565,0.4986524,0.5600782,0.50215447,0.40951824,0.4749606,0.41367638,0.54577935,0.50795144,0.46151203,0.47496578,0.5404266,0.5107347,0.5537824,0.46880317,0.53415084,0.5382694,0.5374804,0.542336,0.46293694,0.36207235,0.501122,0.49175623,0.5372118,0.5540295,0.4577822,0.6369067,0.43017805,0.42026213,0.40759,0.6224261,0.455408,0.5049837,0.5405933,0.5434968
2025-06-25,0.0,-0.7275102647342373,0.8643965555256529,-0.36728244556723,0.4343554,0.38840365,0.40834677,0.39227948,0.3793105,0.4207898,0.37280622,0.39905334,0.3875324,0.47898138,0.4524362,0.42187688,0.4448651,0.41509572,0.35710743,0.43768147,0.42061004,0.4323223,0.41085628,0.37849534,0.3332317,0.37785748,0.45004576,0.4201977,0.38888618,0.34191364,0.41061938,0.4479844,0.40248397,0.33693486,0.41984618,0.3885566,0.47687507,0.410601,0.37587136,0.30209413,0.38292006,0.37716892,0.36845464,0.4617957,0.40464914,0.45021188,0.3844239,0.2736268,0.34149095,0.5149686,0.36480755,0.3470571,0.44257078,0.3986664
2025-06-26,1.0,-0.553484233859804,0.734371837348212,0.09395562683026999,0.53279966,0.53774625,0.47224048,0.4870173,0.533176,0.53366476,0.41848576,0.55377436,0.5315785,0.566747,0.5182353,0.5193093,0.58413213,0.45091394,0.6043361,0.51314473,0.52405584,0.5742353,0.5564636,0.57673085,0.51311576,0.56596464,0.545694,0.49585143,0.47707433,0.51029605,0.6017267,0.6103792,0.50981206,0.5503984,0.5844484,0.5245835,0.5388813,0.4766554,0.42475548,0.48779514,0.5171847,0.464059,0.5497788,0.55573887,0.6214745,0.63275933,0.4292015,0.5281142,0.41963363,0.63207877,0.50529206,0.51142657,0.45891517,0.45078513
